name	compactsave	version	level	ShowLevel	levelreq	reqstr	reqdex	rarity	spawnable	speed	nodurability	cost	gamble cost	code	alternategfx	namestr	auto prefix	normcode	ubercode	ultracode	component	invwidth	invheight	hasinv	gemsockets	gemapplytype	flippyfile	invfile	uniqueinvfile	Transmogrify	TMogType	TMogMin	TMogMax	useable	type	type2	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	lightradius	belt	autobelt	stackable	minstack	maxstack	spawnstack	quest	questdiffcheck	missiletype	spellicon	pSpell	state	cstate1	cstate2	len	stat1	calc1	stat2	calc2	stat3	calc3	spelldesc	spelldescstr	spelldescstr2	spelldesccalc	spelldesccolor	durwarning	qntwarning	gemoffset	BetterGem	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HratliMin	HratliMax	HratliMagicMin	HratliMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	AnyaMin	AnyaMax	AnyaMagicMin	AnyaMagicMax	AnyaMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	mindam	maxdam	PermStoreItem	multibuy	Nameable	diablocloneweight
LoD Amulet (soc)	0	0	1	0	0			4	0	0	1	6300	63000	au9	amu	amu		au9	au9	au9	16	1	1	1	1	1	flpamu	invamu		0	xxx			0	amul		item_amulet	12	item_amulet	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	0	xxx	xxx						
Ama Ring	0	0	1	0	0			4	1	0	1	5000	50000	zrn	rin	zrn		zrn	zrn	zrn	16	1	1	0	0	0	flprin	invzrn	invzrn	0	xxx			0	zrin		item_ring	12	item_ring	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	0	xxx	xxx						
Sor Ring	0	0	1	0	0			4	1	0	1	5000	50000	srn	rin	srn		srn	srn	srn	16	1	1	0	0	0	flprin	invsrn	invsrn	0	xxx			0	srin		item_ring	12	item_ring	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	0	xxx	xxx						
Nec Ring	0	0	1	0	0			4	1	0	1	5000	50000	nrn	rin	nrn		nrn	nrn	nrn	16	1	1	0	0	0	flprin	invnrn	invnrn	0	xxx			0	nrin		item_ring	12	item_ring	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	0	xxx	xxx						
Pal Ring	0	0	1	0	0			4	1	0	1	5000	50000	prn	rin	prn		prn	prn	prn	16	1	1	0	0	0	flprin	invprn	invprn	0	xxx			0	prin		item_ring	12	item_ring	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	0	xxx	xxx						
Bar Ring	0	0	1	0	0			4	1	0	1	5000	50000	brg	rin	brg		brg	brg	brg	16	1	1	0	0	0	flprin	invbrg	invbrg	0	xxx			0	brin		item_ring	12	item_ring	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	0	xxx	xxx						
Dru Ring	0	100	1	0	0			4	1	0	1	5000	50000	drn	rin	drn		drn	drn	drn	16	1	1	0	0	0	flprin	invdrn	invdrn	0	xxx			0	drin		item_ring	12	item_ring	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	0	xxx	xxx						
Ass Ring	0	100	1	0	0			4	1	0	1	5000	50000	arn	rin	arn		arn	arn	arn	16	1	1	0	0	0	flprin	invarn	invarn	0	xxx			0	arin		item_ring	12	item_ring	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	0	xxx	xxx						
Ama Amulet	0	0	1	0	0			4	1	0	1	6300	63000	zam	amu	zam		zam	zam	zam	16	1	1	0	0	0	flpamu	invzam	invzam	0	xxx			0	zamu		item_amulet	12	item_amulet	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	0	xxx	xxx						
Sor Amulet	0	0	1	0	0			4	1	0	1	6300	63000	sam	amu	sam		sam	sam	sam	16	1	1	0	0	0	flpamu	invsam	invsam	0	xxx			0	samu		item_amulet	12	item_amulet	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	0	xxx	xxx						
Nec Amulet	0	0	1	0	0			4	1	0	1	6300	63000	nam	amu	nam		nam	nam	nam	16	1	1	0	0	0	flpamu	invnam	invnam	0	xxx			0	namu		item_amulet	12	item_amulet	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	0	xxx	xxx						
Pal Amulet	0	0	1	0	0			4	1	0	1	6300	63000	pam	amu	pam		pam	pam	pam	16	1	1	0	0	0	flpamu	invpam	invpam	0	xxx			0	pamu		item_amulet	12	item_amulet	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	0	xxx	xxx						
Bar Amulet	0	0	1	0	0			4	1	0	1	6300	63000	bam	amu	bam		bam	bam	bam	16	1	1	0	0	0	flpamu	invbam	invbam	0	xxx			0	bamu		item_amulet	12	item_amulet	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	0	xxx	xxx						
Dru Amulet	0	100	1	0	0			4	1	0	1	6300	63000	dam	amu	dam		dam	dam	dam	16	1	1	0	0	0	flpamu	invdam	invdam	0	xxx			0	damu		item_amulet	12	item_amulet	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	0	xxx	xxx						
Ass Amulet	0	100	1	0	0			4	1	0	1	6300	63000	aam	amu	aam		aam	aam	aam	16	1	1	0	0	0	flpamu	invaam	invaam	0	xxx			0	aamu		item_amulet	12	item_amulet	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	0	xxx	xxx						
Ring (soc)	0	0	1	0	0			4	0	0	1	5000	50000	rn0	rin	rin		rn0	rn0	rn0	16	1	1	1	1	1	flprin	invrin		0	xxx			0	ring		item_ring	12	item_ring	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	0	xxx	xxx						
Amulet (soc)	0	0	1	0	0			4	0	0	1	6300	63000	au0	amu	amu		au0	au0	au0	16	1	1	1	1	1	flpamu	invamu		0	xxx			0	amul		item_amulet	12	item_amulet	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	0	xxx	xxx						
Sor Ring (soc)	0	0	1	0	0			4	0	0	1	5000	50000	sr0	rin	srn		sr0	sr0	sr0	16	1	1	1	1	1	flprin	invsrn	invsrn	0	xxx			0	srin		item_ring	12	item_ring	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	0	xxx	xxx						
Bar Ring (soc)	0	0	1	0	0			4	0	0	1	5000	50000	br0	rin	brg		br0	br0	br0	16	1	1	1	1	1	flprin	invbrg	invbrg	0	xxx			0	brin		item_ring	12	item_ring	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	0	xxx	xxx						
Nec Ring (soc)	0	0	1	0	0			4	0	0	1	5000	50000	nr0	rin	nrn		nr0	nr0	nr0	16	1	1	1	1	1	flprin	invnrn	invnrn	0	xxx			0	nrin		item_ring	12	item_ring	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	0	xxx	xxx						
Pal Ring (soc)	0	0	1	0	0			4	0	0	1	5000	50000	pr0	rin	prn		pr0	pr0	pr0	16	1	1	1	1	1	flprin	invprn	invprn	0	xxx			0	prin		item_ring	12	item_ring	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	0	xxx	xxx						
Dru Ring (soc)	0	100	1	0	0			4	0	0	1	5000	50000	dr0	rin	drn		dr0	dr0	dr0	16	1	1	1	1	1	flprin	invdrn	invdrn	0	xxx			0	drin		item_ring	12	item_ring	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	0	xxx	xxx						
Ama Ring (soc)	0	0	1	0	0			4	0	0	1	5000	50000	zr0	rin	zrn		zr0	zr0	zr0	16	1	1	1	1	1	flprin	invzrn	invzrn	0	xxx			0	zrin		item_ring	12	item_ring	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	0	xxx	xxx						
Ass Ring (soc)	0	100	1	0	0			4	0	0	1	5000	50000	ar0	rin	arn		ar0	ar0	ar0	16	1	1	1	1	1	flprin	invarn	invarn	0	xxx			0	arin		item_ring	12	item_ring	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	0	xxx	xxx						
Sor Amulet (soc)	0	0	1	0	0			4	0	0	1	6300	63000	sa0	amu	sam		sa0	sa0	sa0	16	1	1	1	1	1	flpamu	invsam	invsam	0	xxx			0	samu		item_amulet	12	item_amulet	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	0	xxx	xxx						
Bar Amulet (soc)	0	0	1	0	0			4	0	0	1	6300	63000	ba0	amu	bam		ba0	ba0	ba0	16	1	1	1	1	1	flpamu	invbam	invbam	0	xxx			0	bamu		item_amulet	12	item_amulet	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	0	xxx	xxx						
Nec Amulet (soc)	0	0	1	0	0			4	0	0	1	6300	63000	na0	amu	nam		na0	na0	na0	16	1	1	1	1	1	flpamu	invnam	invnam	0	xxx			0	namu		item_amulet	12	item_amulet	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	0	xxx	xxx						
Pal Amulet (soc)	0	0	1	0	0			4	0	0	1	6300	63000	pa0	amu	pam		pa0	pa0	pa0	16	1	1	1	1	1	flpamu	invpam	invpam	0	xxx			0	pamu		item_amulet	12	item_amulet	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	0	xxx	xxx						
Dru Amulet (soc)	0	100	1	0	0			4	0	0	1	6300	63000	da0	amu	dam		da0	da0	da0	16	1	1	1	1	1	flpamu	invdam	invdam	0	xxx			0	damu		item_amulet	12	item_amulet	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	0	xxx	xxx						
Ama Amulet (soc)	0	0	1	0	0			4	0	0	1	6300	63000	za0	amu	zam		za0	za0	za0	16	1	1	1	1	1	flpamu	invzam	invzam	0	xxx			0	zamu		item_amulet	12	item_amulet	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	0	xxx	xxx						
Ass Amulet (soc)	0	100	1	0	0			4	0	0	1	6300	63000	aa0	amu	aam		aa0	aa0	aa0	16	1	1	1	1	1	flpamu	invaam	invaam	0	xxx			0	aamu		item_amulet	12	item_amulet	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	0	xxx	xxx						
Odd Charm	0	100	1	0	0			4	1	0	1	1500	40000	cm4	rld	cm4		cm4	cm4	cm4	16	2	3	0	0	0	flpchm3	invdev	invdev	0	xxx			0	ocha		item_charm	12	item_charm	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	8	0	xxx	xxx						
Square Charm (soc)	0	100	1	0	0			4	0	0	1	1500	40000	cm5	rgd	cm5		cm5	cm5	cm5	16	2	2	1	1	1	flpchm3	invqcharm	invqcharm	0	xxx			0	qcha		item_charm	12	item_charm	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	8	0	xxx	xxx						
Odd Charm (soc)	0	100	1	0	0			4	0	0	1	1500	40000	cm6	rld	cm4		cm6	cm6	cm6	16	2	3	1	1	1	flpchm3	invdev	invdev	0	xxx			0	ocha		item_charm	12	item_charm	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	8	0	xxx	xxx						
Extra Odd Charm (3 soc)	0	100	1	0	0			4	0	0	1	1500	40000	cm9	rld	cm9		cm9	cm9	cm9	16	2	3	1	3	1	flpchm3	invdev		0	xxx			0	xcha		item_charm	12	item_charm	0	0	5	0	0	0	0	0	0	0			0	-1												1	cm8desc				0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	8	0	xxx	xxx						
I Rune	1	100	2	0	2			1	1	0	1	560		r01	r01	r01		r01	r01	r01	16	1	1	0	0	0	flprun	invr-i		0	xxx			0	rune		item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1	1		
U Rune	1	100	3	0	3			1	1	0	1	560		r02	r02	r02		r02	r02	r02	16	1	1	0	0	0	flprun	invr-u		0	xxx			0	rune		item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1	1		
Shi Rune	1	100	4	0	4			2	1	0	1	1260		r03	r03	r03		r03	r03	r03	16	1	1	0	0	0	flprun	invr-shi		0	xxx			0	rune		item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1	1		
Ka Rune	1	100	5	0	5			2	1	0	1	1260		r04	r04	r04		r04	r04	r04	16	1	1	0	0	0	flprun	invr-ka		0	xxx			0	rune		item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1	1		
N Rune	1	100	6	0	6			3	1	0	1	2240		r05	r05	r05		r05	r05	r05	16	1	1	0	0	0	flprun	invr-n		0	xxx			0	rune		item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1	1		
Ku Rune	1	100	7	0	7			3	1	0	1	2240		r06	r06	r06		r06	r06	r06	16	1	1	0	0	0	flprun	invr-ku		0	xxx			0	rune		item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1	1		
Yo Rune	1	100	9	0	9			4	1	0	1	3500		r07	r07	r07		r07	r07	r07	16	1	1	0	0	0	flprun	invr-yo		0	xxx			0	rune		item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1	1		
Ki Rune	1	100	10	0	10			5	1	0	1	5040		r08	r08	r08		r08	r08	r08	16	1	1	0	0	0	flprun	invr-ki		0	xxx			0	rune		item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1	1		
Ri Rune	1	100	12	0	12			6	1	0	1	6860		r09	r09	r09		r09	r09	r09	16	1	1	0	0	0	flprun	invr-ri		0	xxx			0	rune		item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1	1		
Mi Rune	1	100	13	0	13			7	1	0	1	8960		r10	r10	r10		r10	r10	r10	16	1	1	0	0	0	flprun	invr-mi		0	xxx			0	rune		item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1	1		
Ya Rune	1	100	15	0	15			8	1	0	1	11340		r11	r11	r11		r11	r11	r11	16	1	1	0	0	0	flprun	invr-ya		0	xxx			0	rune		item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1	1		
A Rune	1	100	17	0	17			9	1	0	1	14000		r12	r12	r12		r12	r12	r12	16	1	1	0	0	0	flprun	invr-a		0	xxx			0	rune		item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1	1		
Tsu Rune	1	100	19	0	19			10	1	0	1	16940		r13	r13	r13		r13	r13	r13	16	1	1	0	0	0	flprun	invr-tsu		0	xxx			0	rune		item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1	1		
Chi Rune	1	100	20	0	20			11	1	0	1	20160		r14	r14	r14		r14	r14	r14	16	1	1	0	0	0	flprun	invr-chi		0	xxx			0	rune		item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1	1		
Sa Rune	1	100	22	0	1			12	1	0	1	1715		r15	r15	r15		r15	r15	r15	16	1	1	0	0	0	flprun	invr-sa		0	xxx			0	rune		item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1	1		
Yu Rune	1	100	23	0	23			13	1	0	1	27440		r16	r16	r16		r16	r16	r16	16	1	1	0	0	0	flprun	invr-yu		0	xxx			0	rune		item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1	1		
Ke Rune	1	100	24	0	24			14	1	0	1	31500		r17	r17	r17		r17	r17	r17	16	1	1	0	0	0	flprun	invr-ke		0	xxx			0	rune		item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1	1		
E Rune	1	100	26	0	26			15	1	0	1	35840		r18	r18	r18		r18	r18	r18	16	1	1	0	0	0	flprun	invr-e		0	xxx			0	rune		item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1	1		
Ko Rune	1	100	27	0	27			16	1	0	1	40460		r19	r19	r19		r19	r19	r19	16	1	1	0	0	0	flprun	invr-ko		0	xxx			0	rune		item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1	1		
Ra Rune	1	100	28	0	28			17	1	0	1	45360		r20	r20	r20		r20	r20	r20	16	1	1	0	0	0	flprun	invr-ra		0	xxx			0	rune		item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1	1		
O Rune	1	100	30	0	30			18	1	0	1	50540		r21	r21	r21		r21	r21	r21	16	1	1	0	0	0	flprun	invr-o		0	xxx			0	rune		item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1	1		
Ho Rune	1	100	31	0	31			19	1	0	1	56000		r22	r22	r22		r22	r22	r22	16	1	1	0	0	0	flprun	invr-ho		0	xxx			0	rune		item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1	1		
Me Rune	1	100	32	0	32			20	1	0	1	61740		r23	r23	r23		r23	r23	r23	16	1	1	0	0	0	flprun	invr-me		0	xxx			0	rune		item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1	1		
Ru Rune	1	100	34	0	34			21	1	0	1	67760		r24	r24	r24		r24	r24	r24	16	1	1	0	0	0	flprun	invr-ru		0	xxx			0	rune		item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1	1		
Ta Rune	1	100	35	0	35			22	1	0	1	74060		r25	r25	r25		r25	r25	r25	16	1	1	0	0	0	flprun	invr-ta		0	xxx			0	rune		item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1	1		
To Rune	1	100	36	0	36			23	1	0	1	80640		r26	r26	r26		r26	r26	r26	16	1	1	0	0	0	flprun	invr-to		0	xxx			0	rune		item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1	1		
Wa Rune	1	100	38	0	38			24	1	0	1	87500		r27	r27	r27		r27	r27	r27	16	1	1	0	0	0	flprun	invr-wa		0	xxx			0	rune		item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1	1		
Ha Rune	1	100	39	0	39			25	1	0	1	94640		r28	r28	r28		r28	r28	r28	16	1	1	0	0	0	flprun	invr-ha		0	xxx			0	rune		item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1	1		
Na Rune	1	100	40	0	40			26	1	0	1	102060		r29	r29	r29		r29	r29	r29	16	1	1	0	0	0	flprun	invr-na		0	xxx			0	rune		item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1	1		
Ni Rune	1	100	42	0	42			27	1	0	1	109760		r30	r30	r30		r30	r30	r30	16	1	1	0	0	0	flprun	invr-ni		0	xxx			0	rune		item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1	1		
Se Rune	1	100	43	0	43			28	1	0	1	117740		r31	r31	r31		r31	r31	r31	16	1	1	0	0	0	flprun	invr-se		0	xxx			0	rune		item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1	1		
Fu Rune	1	100	44	0	44			29	1	0	1	126000		r32	r32	r32		r32	r32	r32	16	1	1	0	0	0	flprun	invr-fu		0	xxx			0	rune		item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1	1		
Ma Rune	1	100	45	0	45			30	1	0	1	134540		r33	r33	r33		r33	r33	r33	16	1	1	0	0	0	flprun	invr-ma		0	xxx			0	rune		item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1	1		
Hi Rune	1	100	46	0	46			31	1	0	1	143360		r34	r21	r34		r34	r34	r34	16	1	1	0	0	0	flprun	invr-hi		0	xxx			0	rune		item_rune	12	item_rune	0	0	5	0	0	0	0	0	0	0			0	-1																	0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1	1		
