code	*Enabled	func1	stat1	set1	val1	func2	stat2	set2	val2	func3	stat3	set3	val3	func4	stat4	set4	val4	func5	stat5	set5	val5	func6	stat6	set6	val6	func7	stat7	set7	val7	*Tooltip	*Parameter	*Min	*Max	*Notes
dmg-elem-max	1	1	firemaxdam			3	lightmaxdam			3	coldmaxdam			17	coldlength															+# to Maximum Fire/Lightning/Cold Damage		Min #	Max #	Currently Not Used
all-stats	1	1	strength			3	energy			3	dexterity			3	vitality															+# to all Attributes		Min #	Max #	
addxp	1	1	item_addexperience																											+#% to Experience Gained		Min %	Max %	
heal-kill	1	1	item_healafterkill																											+# Life after each Kill		Min #	Max #	
cheap	1	1	item_reducedprices																											Reduces all Vendor Prices #%		Min %	Max %	
rip	1	1	item_restinpeace																											Slain Monsters Rest in Peace		1	1	
att-mon%	1	24	attack_vs_montype																											#% to Attack Rating versus [Monster Type]	monstats.txt MonType	Min #	Max #	Currently Not Used
dmg-mon%	1	24	damage_vs_montype																											#% to Damage versus [Monster Type]	monstats.txt MonType	Min #	Max #	Currently Not Used
kill-skill	1	11	item_skillonkill																											#% Chance to cast level # [Skill] when you Kill an Enemy	Skill	"% Chance (If 0, then default to 5)"	Skill Level	
death-skill	1	11	item_skillondeath																											#% Chance to cast level # [Skill] when you Die	Skill	"% Chance (If 0, then default to 5)"	Skill Level	
levelup-skill	1	11	item_skillonlevelup																											#% Chance to cast level # [Skill] when you Level-Up	Skill	"% Chance (If 0, then default to 5)"	Skill Level	
skill-rand	1	12	item_singleskill																											+# to [Skill] ([Class] only)	Skill Level	Min Skill ID	Max Skill ID	
fade	1	17	fade																													Min #	Max #	Visuals Only
levelreq	1	1	item_levelreq																											Required Level: #		Min #	Max #	
ethereal	1	23																												Ethereal		1	1	
oskill	1	22	item_nonclassskill																											+# to [Skill]	Skill	Min #	Max #	
state	1	24	state																												State	1	1	Applies a State on the unit
randclassskill	1	36	item_addclassskills		3																									+# to [Class] Skill Levels		Min Class ID	Max Class ID	val1 = # of Skill levels
noconsume		1	item_noconsume																											+# to not Consume Quantity		Min %	Max %	
fear	1	1																																flee when hit
dmg-mag/lvl	1	17	item_magic_damagemax_perlevel																											Max Magic Damage per Player Level	(8ths)			none
vit-h	1	1	vitality_hidden																															none
craftflag	1	1	item_craftflag																															none
craftflag2	1	1	item_craftflag2																															none
tinkerflag	1	1	item_tinkerflag																															none
randomize	1	1	item_randomize																															none
gem-v	1	1	gem_v																															none
gem-y	1	1	gem_y																															none
gem-b	1	1	gem_b																															none
gem-g	1	1	gem_g																															none
gem-r	1	1	gem_r																															none
gem-w	1	1	gem_w																															none
gem-s	1	1	gem_s																															none
gem-k	1	1	gem_k																															none
rune-01	1	1	rune_01																															none
rune-02	1	1	rune_02																															none
rune-03	1	1	rune_03																															none
rune-04	1	1	rune_04																															none
rune-05	1	1	rune_05																															none
rune-06	1	1	rune_06																															none
rune-07	1	1	rune_07																															none
rune-08	1	1	rune_08																															none
rune-09	1	1	rune_09																															none
rune-10	1	1	rune_10																															none
rune-11	1	1	rune_11																															none
rune-12	1	1	rune_12																															none
rune-13	1	1	rune_13																															none
rune-14	1	1	rune_14																															none
rune-15	1	1	rune_15																															none
rune-16	1	1	rune_16																															none
rune-17	1	1	rune_17																															none
rune-18	1	1	rune_18																															none
rune-19	1	1	rune_19																															none
rune-20	1	1	rune_20																															none
rune-21	1	1	rune_21																															none
rune-22	1	1	rune_22																															none
rune-23	1	1	rune_23																															none
rune-24	1	1	rune_24																															none
rune-25	1	1	rune_25																															none
rune-26	1	1	rune_26																															none
rune-27	1	1	rune_27																															none
rune-28	1	1	rune_28																															none
rune-29	1	1	rune_29																															none
rune-30	1	1	rune_30																															none
rune-31	1	1	rune_31																															none
rune-32	1	1	rune_32																															none
rune-33	1	1	rune_33																															none
rune-34	1	1	rune_34																															none
rune-35	1	1	rune_35																															none
rune-36	1	1	rune_36																															none
rune-37	1	1	rune_37																															none
rune-38	1	1	rune_38																															none
rune-39	1	1	rune_39																															none
rune-40	1	1	rune_40																															none
rune-41	1	1	rune_41																															none
rune-42	1	1	rune_42																															none
rune-43	1	1	rune_43																															none
rune-44	1	1	rune_44																															none
rune-45	1	1	rune_45																															none
rune-46	1	1	rune_46																															none
rune-51	1	1	rune_51																															none
rune-52	1	1	rune_52																															none
rune-53	1	1	rune_53																															none
rune-54	1	1	rune_54																															none
rune-55	1	1	rune_55																															none
rune-56	1	1	rune_56																															none
rune-57	1	1	rune_57																															none
rune-58	1	1	rune_58																															none
rune-59	1	1	rune_59																															none
rune-60	1	1	rune_60																															none
rune-61	1	1	rune_61																															none
rune-62	1	1	rune_62																															none
rune-63	1	1	rune_63																															none
rune-64	1	1	rune_64																															none
rune-65	1	1	rune_65																															none
rune-66	1	1	rune_66																															none
rune-67	1	1	rune_67																															none
rune-68	1	1	rune_68																															none
rune-69	1	1	rune_69																															none
rune-70	1	1	rune_70																															none
rune-71	1	1	rune_71																															none
rune-72	1	1	rune_72																															none
rune-73	1	1	rune_73																															none
rune-74	1	1	rune_74																															none
rune-75	1	1	rune_75																															none
rune-76	1	1	rune_76																															none
rune-77	1	1	rune_77																															none
rune-78	1	1	rune_78																															none
rune-79	1	1	rune_79																															none
rune-80	1	1	rune_80																															none
rune-81	1	1	rune_81																															none
rune-82	1	1	rune_82																															none
rune-83	1	1	rune_83																															none
tome-01	1	1	tome_01																															none
tome-02	1	1	tome_02																															none
tome-03	1	1	tome_03																															none
tome-04	1	1	tome_04																															none
tome-05	1	1	tome_05																															none
tome-06	1	1	tome_06																															none
tome-07	1	1	tome_07																															none
tome-08	1	1	tome_08																															none
tome-09	1	1	tome_09																															none
tome-10	1	1	tome_10																															none
tome-11	1	1	tome_11																															none
tome-12	1	1	tome_12																															none
tome-13	1	1	tome_13																															none
tome-14	1	1	tome_14																															none
tome-15	1	1	tome_15																															none
tome-16	1	1	tome_16																															none
tome-17	1	1	tome_17																															none
tome-18	1	1	tome_18																															none
tome-19	1	1	tome_19																															none
tome-20	1	1	tome_20																															none
tome-21	1	1	tome_21																															none
tome-22	1	1	tome_22																															none
tome-23	1	1	tome_23																															none
tome-24	1	1	tome_24																															none
tome-25	1	1	tome_25																															none
tome-26	1	1	tome_26																															none
tome-27	1	1	tome_27																															none
tome-28	1	1	tome_28																															none
tome-29	1	1	tome_29																															none
tome-30	1	1	tome_30																															none
tome-31	1	1	tome_31																															none
tome-32	1	1	tome_32																															none
tome-33	1	1	tome_33																															none
tome-34	1	1	tome_34																															none
tome-35	1	1	tome_35																															none
tome-36	1	1	tome_36																															none
tome-37	1	1	tome_37																															none
tome-38	1	1	tome_38																															none
tome-39	1	1	tome_39																															none
tome-40	1	1	tome_40																															none
tome-41	1	1	tome_41																															none
tome-42	1	1	tome_42																															none
tome-43	1	1	tome_43																															none
tome-44	1	1	tome_44																															none
tome-45	1	1	tome_45																															none
tome-46	1	1	tome_46																															none
tome-47	1	1	tome_47																															none
tome-48	1	1	tome_48																															none
tome-49	1	1	tome_49																															none
tome-50	1	1	tome_50																															none
junk-01	1	1	junk_01																															none
junk-02	1	1	junk_02																															none
junk-03	1	1	junk_03																															none
junk-04	1	1	junk_04																															none
junk-05	1	1	junk_05																															none
junk-06	1	1	junk_06																															none
junk-07	1	1	junk_07																															none
junk-08	1	1	junk_08																															none
item-01	1	1	item_01																															none
item-02	1	1	item_02																															none
item-03	1	1	item_03																															none
item-04	1	1	item_04																															none
item-05	1	1	item_05																															none
item-06	1	1	item_06																															none
item-07	1	1	item_07																															none
item-08	1	1	item_08																															none
item-09	1	1	item_09																															none
item-10	1	1	item_10																															none
item-11	1	1	item_11																															none
item-12	1	1	item_12																															none
item-13	1	1	item_13																															none
item-14	1	1	item_14																															none
item-15	1	1	item_15																															none
item-16	1	1	item_16																															none
item-17	1	1	item_17																															none
item-18	1	1	item_18																															none
item-19	1	1	item_19																															none
item-20	1	1	item_20																															none
item-21	1	1	item_21																															none
item-22	1	1	item_22																															none
item-23	1	1	item_23																															none
token	1	1	item_token																															none
dmgpct	1	1	item_maxdamage_percent			1	item_mindamage_percent																											none
tinkerflag2	1	1	item_tinkerflag2																															none
item-24	1	1	item_24																															none
junk-09	1	1	junk_09																															none
rune-50	1	1	rune_50																															none
xtal-00	1	1	xtal_00																															none
xtal-01	1	1	xtal_01																															none
xtal-02	1	1	xtal_02																															none
xtal-03	1	1	xtal_03																															none
xtal-04	1	1	xtal_04																															none
xtal-05	1	1	xtal_05																															none
xtal-06	1	1	xtal_06																															none
xtal-07	1	1	xtal_07																															none
xtal-08	1	1	xtal_08																															none
xtal-09	1	1	xtal_09																															none
xtal-10	1	1	xtal_10																															none
xtal-11	1	1	xtal_11																															none
meldflag	1	1	item_meldflag																															none
extra-mag2	1	1	passive_mag2_mastery																															none
extra-wind	1	1	passive_wind_mastery																															none
junk-11	1	1	junk_11																															none
junk-12	1	1	junk_12																															none
junk-13	1	1	junk_13																															none
junk-14	1	1	junk_14																															none
junk-15	1	1	junk_15																															none
junk-16	1	1	junk_16																															none
junk-17	1	1	junk_17																															none
junk-18	1	1	junk_18																															none
jewelflag	1	1	item_jewelflag																															none
mercflag	1	1	item_mercflag																															none
all-stats/lvl	1	17	item_strength_perlevel			17	item_energy_perlevel			17	item_dexterity_perlevel			17	item_vitality_perlevel																			
extra-summ	1	1	passive_summ_mastery																															none
haste	1	1	attackrate			1	velocitypercent																											none
extraflag	1	1	item_extraflag																															none
coldskill	1	21	item_elemskill		4	1	item_elemskillcold																											none
lightningskill	1	21	item_elemskill		2	1	item_elemskilllight																											none
poisonskill	1	21	item_elemskill		5	1	item_elemskillpoison																											none
magicskill	1	21	item_elemskill		3	1	item_elemskillmagic																											none
pierce-immunity-cold	1	1	item_pierce_cold_immunity																											Monster Cold Immunity is Sundered		Min %	Max %	
pierce-immunity-fire	1	1	item_pierce_fire_immunity																											Monster Fire Immunity is Sundered		Min %	Max %	
pierce-immunity-light	1	1	item_pierce_light_immunity																											Monster Lightning Immunity is Sundered		Min %	Max %	
pierce-immunity-poison	1	1	item_pierce_poison_immunity																											Monster Poison Immunity is Sundered		Min %	Max %	
pierce-immunity-damage	1	1	item_pierce_damage_immunity																											Monster Physical Immunity is Sundered		Min %	Max %	
pierce-immunity-magic	1	1	item_pierce_magic_immunity																											Monster Magic Immunity is Sundered		Min %	Max %	
charge-noconsume	1	1	item_charge_noconsume																											+#% chance for finishing moves to not consume charges		Min %	Max %	
splash	1	11	item_splashonhit																											splash	proc_SplashDamage	100	1	
corrupted	1	1	item_corrupted																															
corrupted_dummy	1	1	item_corrupted_dummy																															
item-25	1	1	item_25																															none
pierce-phys	1	1	passive_phys_pierce																											Negates % of Enemy Physical Resistance		Min %	Max %	none
pierce-mag	1	1	passive_mag_pierce																											Negates % of Enemy Magic Resistance		Min %	Max %	none
curse-res	1	1	curse_resistance																															none
auraflag	1	1	item_auraflag																															none
