skilldesc	SkillPage	SkillRow	SkillColumn	ListRow	IconCel	HireableIconCel	str name	str short	str long	str alt	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc2line5	dsc2texta5	dsc2textb5	dsc2calca5	dsc2calcb5	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	item proc text	item proc descline count	*eol
bone armor	2	1	1	2	4		skillname68	skillsd68	skillld68	skillan68																	36	StrSkill3		usmc	256	74	ModStr2uPercent		blvl		74	StrSkill21		ast1/256		74	StrSkill40		edmn*(100+clc4)/100												2	StrSkill162	StrSkill23	ast4		18	StrSkill282				18	StrSkill284														40	Sksyn	skillname68	2		76	Damabsplev	skillname73	par7		76	Damabsplev	Skillname373	par7		76	Damabsplev	StrSkill261	par8		76	Damabsplev	StrSkill262	par8														0
skeleton mastery	3	1	1	3	6		skillname69	skillsd69	skillld69	skillan69																	74	StrSkillSleketonMasteryMonsterDamage		lvl*par4		74	StrSkill97		lvl*par3		74	SkeletonsMageAttack		lvl*par6		74	SkeletonsMageDam		lvl*par2		74	SkeletonsMageDef		lvl*par5		74	SkeletonsMageLife		lvl*par1		74	StrSkill200	StrSkill228	lvl-1																																						StrSkill203																					0
raise skeleton	3	3	3	3	8		skillname70	skillsd70	skillld70	skillan70																	36	StrSkill3		usmc	256	36	StrSkill94	StrSkill44	pets		5	StrSkill208		5+ast2		34	StrSkill4				74	StrSkillDefense		5+ast3		13	StrSkill42		clc1	pst1/256																										40	Sksyn	skillname70	2		18	skillname69				18	skillname89				76	Hpplev	StrSkill203	skill('Skeleton Mastery'.par1)		76	Defplev	StrSkill203	skill('Skeleton Mastery'.par5)		76	Damplev	StrSkill203	skill('Skeleton Mastery'.par2)		76	AttRateplev	StrSkill203	skill('Skeleton Mastery'.par6)				0
dim vision	1	2	2	1	10		skillname71	skillsd71	skillld71	skillan71																	36	StrSkillDurationSingular	StrSkill20	len	25	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3																					36	StrSkill3		usmc	256						74	StrAttackRating		ast1												40	Sksyn	skillname71	2		76	Secplev2	skillname72	par8/25		76	Secplev2	skillname87	par8/25		76	Secplev2	skillname91	par8/25																			0
weaken	1	1	1	1	12		skillname72	skillsd72	skillld72	skillan72																	36	StrSkillDurationSingular	StrSkill20	len	25	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3																					36	StrSkill3		usmc	256	74	StrSkill38		ast1		74	StrSkill151		ast2												40	Sksyn	skillname72	2		76	Secplev2	skillname71	par8/25		76	Secplev2	skillname87	par8/25		76	Secplev2	skillname91	par8/25		76	Damplev	skillname71	-par7		76	Damplev	skillname87	-par7		76	Damplev	skillname91	-par7				0
poison dagger	2	1	2	2	14		skillname73	skillld73	skillld73	skillan73	5												1				36	StrSkill3		usmc	256	36	StrSkillPoisonLengthSingular	StrSkill63	edln	25	75	StrSkill8		enms*edln/256	exms*edln/256	74	StrSkill22		toht												18	StrSkill270																													40	Sksyn	skillname73	2		76	Poisdplev	skillname83	par8		76	Poisdplev	skillname92	par8																			0
corpse explosion	2	4	2	2	16		skillname74	skillld74	skillld74	skillan74																	36	StrSkill3		usmc	256	36	StrSkillRadiusSingular	StrSkill18	ln34	3																					75	StrSkill46		par1	par2																																																										0
clay golem	3	2	2	3	18		skillname75	skillsd75	skillld75	skillan75																	36	StrSkill3		usmc	256	74	Cgslow		ast1		5	StrSkill208		40+pst2		34	StrSkill4				74	StrSkillDefense		100+pst3		13	StrSkill42		clc1		5	StrSkill242		pets		18	StrSkill240																			40	Sksyn	skillname75	2		18	skillname79				18	skillname89				76	Hpplev	skillname85	skill('BloodGolem'.par8)		76	Defplev	skillname90	skill('IronGolem'.par8)		76	Damplev	skillname94	skill('FireGolem'.par8)		76	Damplev	StrSkill250	par7				0
iron maiden	1	3	1	1	20		skillname76	skillsd76	skillld76	skillan76																	36	StrSkillDurationSingular	StrSkill20	len	25	74	StrSkill55		clc1																						36	StrSkill3		usmc	256	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	74	StrSkill151		ast1												40	Sksyn	skillname76	2		76	Secplev2	skillname66	par8/25		76	Secplev2	skillname87	par8/25		76	Secplev2	skillname82	par8/25		76	Damplev	skillname66	par7		76	Damplev	skillname87	par7		76	Damplev	skillname82	par7				0
terror	1	1	3	1	22		skillname77	skillsd77	skillld77	skillan77																	36	StrSkillDurationSingular	StrSkill20	len	25																										36	StrSkill3		usmc	256	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	74	StrSkill151		ast1												40	Sksyn	skillname77	2		76	Secplev2	skillname81	par8/25		76	Secplev2	skillname86	par8/25		76	Secplev2	skillname87	par8/25																			0
bone wall	2	2	3	2	24		skillname78	skillld78	skillld78	skillan78																	13	StrSkill42		(par1 * (lvl-1)) + ((skill('Bone Armor'.blvl)+skill('Bone Prison'.blvl))*par8)																											36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	par2	25																40	Sksyn	skillname78	2		76	Hpplev	skillname68	par8		76	Hpplev	skillname88	par8		76	Hpplev	skillname93	par8		76	Hpplev	bonewave1	par8														0
golem mastery	3	3	1	3	26		skillname79	skillld79	skillld79	skillan79																	74	StrSkill89		dm34		74	StrSkillAttackRating		ln56		74	StrSkillLifePercent		lvl*par1																																																																															0
raise skeletal mage	3	6	3	3	28		skillname80	skillsd80	skillld80	skillan80																	36	StrSkill3		usmc	256	36	StrSkill43a	StrSkill44a	pets							5	StrSkill202		skill('Skeleton Mastery'.lvl)+lvl-1		74	StrSkillDefense		25+ast3		13	StrSkill42		clc1	pst1/256																										40	Sksyn	skillname80	2		18	skillname69				18	skillname89				76	Hpplev	StrSkill251	skill('Skeleton Mastery'.par1)		76	Defplev	StrSkill251	skill('Skeleton Mastery'.par5)		76	Damplev	StrSkill251	skill('Skeleton Mastery'.par2)									0
confuse	1	2	3	1	30		skillname81	skillsd81	skillld81	skillan81																	36	StrSkillDurationSingular	StrSkill20	len	25	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3																					36	StrSkill3		usmc	256																					40	Sksyn	skillname81	2		76	Secplev2	skillname77	par8/25		76	Secplev2	skillname86	par8/25		76	Secplev2	skillname87	par8/25																			0
life tap	1	5	1	1	32		skillname82	skillsd82	skillld82	skillan82																	36	StrSkillDurationSingular	StrSkill20	len	25	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3																					36	StrSkill3		usmc	256	74	StrSkill79		ln56																	40	Sksyn	skillname82	2		76	Secplev2	skillname66	par8/25		76	Secplev2	skillname76	par8/25		76	Secplev2	skillname87	par8/25		63	StrEach	Stplev	par7		63	skillname85	Stplev	par7									0
poison explosion	2	2	2	2	34		skillname83	skillld83	skillld83	skillan83	5																36	StrSkillPoisonLengthSingular	StrSkill63	edln	25	75	StrSkill8		enms*edln/256	exms*edln/256	75	StrSkill4		enms*edln/256	exms*edln/256																36	StrSkill3		usmc	256																										40	Sksyn	skillname83	2		76	Poisdplev	skillname73	par8		76	Poisdplev	skillname92	par8		76	Damplev	skillname73	par8		76	Damplev	skillname92	par8									0
frozenspear	2	3	1	2	36		frozenspear1	frozenspear2	frozenspear3	frozenspear4	5																36	StrSkill3		usmc	256	75	StrSkill6		enma	exma																					7	StrSkill205		clc1							18	StrSkill286b														40	Sksyn	frozenspear1	2		76	Colddplev	skillname78	par8		76	Colddplev	skillname88	par8		76	Colddplev	skillname93	par8		76	Colddplev	bonewave1	par8														0
bloodgolem	3	3	2	3	38		skillname85	skillsd85	skillld85	skillan85																	36	StrSkill3		usmc	256	74	StrSkill80		dm12		5	StrSkill208		60+pst2		34	StrSkill4				74	StrSkillDefense		120+pst3		13	StrSkill42		clc1		5	StrSkill242		pets		18	StrSkill241																			40	Sksyn	skillname85	2		18	skillname79				18	skillname89				76	AttRateplev	skillname75	skill('Clay Golem'.par8)		76	Defplev	skillname90	skill('IronGolem'.par8)		76	Damplev	skillname94	skill('FireGolem'.par8)		76	Damplev	StrSkill250	par7				0
attract	1	3	3	1	40		skillname86	skillsd86	skillxld86	skillan86																	36	StrSkillDurationSingular	StrSkill20	len	25																										36	StrSkill3		usmc	256	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3																40	Sksyn	skillname86	2		76	Secplev2	skillname77	par8/25		76	Secplev2	skillname81	par8/25		76	Secplev2	skillname87	par8/25																			0
decrepify	1	4	2	1	42		skillname87	skillsd87	skillld87	skillan87																	36	StrSkillDurationSingular	StrSkill20	len	25	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3																					36	StrSkill3		usmc	256	74	StrSkill151		ast4		74	StrSkill38		ast3		36	Cgslow		-ast1							40	Sksyn	skillname87	2		76	Secplev2	skillname66	par8/25		76	Secplev2	skillname72	par8/25		76	Secplev2	skillname91	par8/25																			0
bone prison	2	4	3	2	44		skillname88	skillld88	skillld88	skillan88																	36	StrSkill3		"max(usmc, 1)"	256	13	StrSkill42		(par1 * (lvl-1)) + ((skill('Bone Armor'.blvl)+skill('Bone Wall'.blvl))*par8)																						36	StrSkillDurationSingular	StrSkill20	par2	25																					40	Sksyn	skillname88	2		76	Hpplev	skillname68	par8		76	Hpplev	skillname78	par8		76	Hpplev	skillname93	par8		76	Hpplev	bonewave1	par8														0
summon resist	3	5	1	3	46		skillname89	skillld89	skillld89	skillan89																	74	StrSkill54		dm12																																																																																									0
irongolem	3	4	2	3	48		skillname90	skillsd90	skillld90	skillan90																	36	StrSkill3		usmc	256	74	StrSkill55		ast1		5	StrSkill208		80+pst2		34	StrSkill4				74	StrSkillDefense		140+pst3		13	StrSkill42		clc1																											40	Sksyn	skillname90	2		18	skillname79				18	skillname89				76	AttRateplev	skillname75	skill('Clay Golem'.par8)		76	Hpplev	skillname85	skill('BloodGolem'.par8)		76	Damplev	skillname94	skill('FireGolem'.par8)		76	Damplev	StrSkill250	par7				0
lower resist	1	6	2	1	50		skillname91	skillsd91	skillld91	skillan91																	36	StrSkillDurationSingular	StrSkill20	len	25	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	3	StrSkill191	StrSkill23	ast4		3	StrSkill180	StrSkill23	ast1												36	StrSkill3		usmc	256																					40	Sksyn	skillname91	2		76	Secplev2	skillname71	par8/25		76	Secplev2	skillname71	par8/25		76	Secplev2	skillname87	par8/25		63	skillname89	ResFCLplev	-par7		63	Skillname372	Respmplev	-3									0
poison nova	2	6	2	2	52		skillname92	skillld92	skillld92	skillan92	5																36	StrSkillPoisonLengthSingular	StrSkill63	edln	25	75	StrSkill8		enms*edln/256	exms*edln/256	75	StrSkill4		enms*edln/256	exms*edln/256																36	StrSkill3		usmc	256																										40	Sksyn	skillname92	2		76	Poisdplev	skillname73	par8		76	Poisdplev	skillname83	par8		76	Damplev	skillname73	par8		76	Damplev	skillname83	par8									0
bone spirit	2	5	1	2	54	52	skillname93	skillld93	skillld93	skillan93	5																36	StrSkill3		usmc	256	75	StrSkill39		enma	exma																																														40	Sksyn	skillname93	2		76	Magdplev	skillname78	par8		76	Magdplev	frozenspear1	par8		76	Magdplev	bonewave1	par8		76	Magdplev	skillname88	par8		76	Magdplev	Skillname374	par8									0
firegolem	3	5	2	3	56		skillname94	skillsd94	skillld94	skillan94																	36	StrSkill3		usmc	256	35	StrSkill244		sklvl('GHoly Fire'.ln56.edmn)	sklvl('GHoly Fire'.ln56.edmx)	74	StrSkill40	StrSkill243	ast2		35	StrSkill32		edmn	edmx	34	StrSkill4				74	StrSkillDefense		160+pst3		5	StrSkill208		100+pst2		13	StrSkill42		clc1																	40	Sksyn	skillname94	2		18	StrSkill239				76	AttRateplev	skillname75	skill('Clay Golem'.par8)		76	Hpplev	skillname85	skill('BloodGolem'.par8)		76	Defplev	skillname90	skill('IronGolem'.par8)		76	Firedplev	Skillname375	par3		76	Damplev	StrSkill250	par7				0
revive	3	1	3	3	58		skillname95	skillsd95	skillld95	skillan95																	36	StrSkill3		usmc	256	74	StrSkillMonstersCount		pets																						74	StrSkillDamagePercent	StrSkill23	ast1		74	StrSkill42		clc1		36	StrSkillDurationSingular	StrSkill20	ln34	25											40	Sksyn	skillname95	2		18	skillname69				18	skillname89				76	Hpplev	skillname70	par7		76	Hpplev	skillname80	par7		76	Damplev	skillname70	par8		76	Damplev	skillname80	par8				0
sacrifice	1	1	1	1	0		skillname96	skillld96	skillld96	skillan96	7	clc1											1				74	StrSkillDamagePercent		ln12+skill('Redemption'.blvl)*par8+skill('Fanaticism'.blvl)*par7		74	StrSkill22		toht																						74	StrSkill47		par3																						40	Sksyn	skillname96	2		76	Damplev	skillname106	par7		76	Damplev	skillname111	par7		76	Damplev	hypnoblast1	par7		76	Damplev	skillname124	par8														0
smite	1	1	3	1	2		skillname97	skillld97	skillld97	skillan97	10																36	StrSkillStunLengthSingular	StrSkill48	"min(250,ln12)"	25	74	StrSkillDamagePercent		ln34																						36	StrSkill3		usmc	256																					40	Sksyn	skillname97	2		25	skillname117	SmtStunplev			76	Magdplev	skillname101	par8		76	Magdplev	skillname112	par8		76	Magdplev	skillname119	par8														0
might	2	4	1	2	4	11	skillname98	skillld98	skillld98	skillan98																	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	74	StrSkillDamagePercent		ln34																																															40	Sksyn	skillname98	2		76	Damplev	skillname108	par8		76	Damplev	skillname103	par8		76	Damplev	skillname112	par8		76	Damplev	skillname115	par8														0
prayer	3	1	1	3	6	6	skillname99	skillld99	skillld99	skillan99																	36	StrSkill34		usmc	256	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	74	StrSkillHealFlat		edmn																	74	StrPassiveHPRegen		blvl		18	StrGainRegenPassiveBonus																			40	Sksyn	skillname99	2		76	Healplev2	skillname101	par8		76	Healplev2	skillname121	par8		76	Healplev2	skillname124	par8																			0
resist fire	3	1	3	3	8	58	skillname100	skillld100	skillld100	skillan100																	74	ModStr2uPercent		ast3		74	StrSkill188		ast1		74	ModitemdamFiresk		ast4		36	StrSkillRadiusSingular	StrSkill18	ln12*2	3											74	ModStr5ub		pst1		74	ModStr5u		ast2																	40	Sksyn	skillname100	2		63	skillname125	Fabsplev	par8																													0
holy bolt	1	2	2	1	10		skillname101	skillld101	skillld101	skillan101	5																36	StrSkill3		usmc	256	75	StrSkill50		clc1	clc2	75	StrSkill39		enma	exma																7	StrSkill205		clc1		18	StrSkill291																			40	Sksyn	skillname101	2		76	Magdplev	skillname112	par8		76	Magdplev	skillname121	par8		76	Magdplev	skillname119	par8																			0
holy fire	2	3	3	2	12	37	skillname102	skillld102	skillld102	skillan102	5																36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	75	StrSkill5		enma	exma	75	StrSkillFireDamageToYourAttack		edns*par5/256	edxs*par5/256																																									40	Sksyn	skillname102	2		76	Firedplev	skillname100	par8*2		76	Firedplev	skillname125	par8		76	Firedplev	skillname111	par8																			0
thorns	2	2	1	2	14	9	skillname103	skillld103	skillld103	skillan103																	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	74	StrSkill55		ln34		2	StrSkill178	StrSkill23bb	ast2																																										40	Sksyn	skillname103	2		76	Damplev	skillname115	par8		76	Damplev	skillname123	par8		76	Damplev	hypnoblast1	par8		63	skillname115	OWplev	par7		63	skillname123	OWplev	par7		63	hypnoblast1	OWplev	par7				0
defiance	3	2	2	3	16	7	skillname104	skillld104	skillld104	skillan104																	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	74	StrSkill21		ln34																																															40	Sksyn	skillname104	2		76	Defplev	skillname100	par8		76	Defplev	skillname105	par8		76	Defplev	skillname110	par8		76	Defplev	skillname117	par7														0
resist cold	3	2	3	3	18	59	skillname105	skillld105	skillld105	skillan105																	74	ModStr2uPercent		ast3		74	StrSkill189		ast1		74	ModitemdamColdsk		ast4		36	StrSkillRadiusSingular	StrSkill18	ln12*2	3											74	ModStr5vb		pst1		74	ModStr5v		ast2																	40	Sksyn	skillname105	2		63	skillname125	Cabsplev	par8																													0
zeal	1	3	1	1	20		skillname106	skillld106	skillld106	skillan106	7	clc2											2				74	StrSkillDamagePercent		((lvl < 5) ? 0 : ((lvl-4) * par4) )+skill('Sacrifice'.blvl)*par8		74	StrSkill22		toht		74	StrSkill11		"min((par5 + lvl -1), par6)"																	36	StrSkill3		usmc	256																					40	Sksyn	skillname106	2		76	Damplev	skillname96	par8		76	Damplev	skillname111	par8		76	Damplev	hypnoblast1	par8																			0
charge	1	3	3	1	22		skillname107	skillld107	skillld107	skillan107	7	clc1											2				74	StrSkillDamagePercent		ln34+(skill('Vigor'.blvl)+skill('Might'.blvl))*par8		74	StrSkill22		toht																						36	StrSkill3		usmc	256																					40	Sksyn	skillname107	2		76	Damplev	skillname108	par8		76	Damplev	skillname98	par8		76	Damplev	skillname115	par8																			0
blessed aim	2	1	2	2	24	8	skillname108	skillld108	skillld108	skillan108																	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	74	StrSkill22		ln34		74	StrSkill106		ast3		74	StrSkill154		ast1												18	ModStr4a																								40	Sksyn	skillname108	2		63	skillname98	CBplev	par8																													0
cleansing	3	3	1	3	38		skillname109	skillld109	skillld109	skillan109																	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	74	StrSkill184		ast1/2		74	StrSkill183		ast1																	74	StrCursDurRed		blvl		74	StrPoisDurRed		blvl		18	StrDurRedPassive																																																			0
resist lightning	3	3	3	3	28	60	skillname110	skillld110	skillld110	skillan110																	74	ModStr2uPercent		ast3		74	StrSkill190		ast1		74	ModitemdamLtngsk		ast4		36	StrSkillRadiusSingular	StrSkill18	ln12*2	3											74	ModStr5wb		pst1		74	ModStr5w		ast2																	40	Sksyn	skillname110	2		63	skillname125	Labsplev	par8																													0
vengeance	1	4	1	1	40	36	skillname111	skillld111	skillld111	skillan111	11												1				36	StrSkill3		usmc	256	74	StrSkillLightningDamagePercent		ln12+skill('Resist Lightning'.blvl)*par8+skill('Salvation'.blvl)*par7		36	StrSkillColdLengthSingular	StrSkill13	edln	25	74	StrSkillColdDamagePercent		ln12+skill('Resist Cold'.blvl)*par8+skill('Salvation'.blvl)*par7		74	StrSkillFireDamagePercent		ln12+skill('Resist Fire'.blvl)*par8+skill('Salvation'.blvl)*par7		74	StrSkill22		toht																											40	Sksyn	skillname111	2		76	Firedplev	skillname100	par8		76	Colddplev	skillname105	par8		76	Ltngdplev	skillname110	par8		63	skillname125	ElemDampLevAll	par7		63	StrHolyFFS	ElemDampLevEach	par7									0
blessed hammer	1	4	2	1	32		skillname112	skillld112	skillld112	skillan112	12																36	StrSkill3		usmc	256	75	StrSkill39		enma	exma																					74	StrSkillDamageToUndead		50																						40	Sksyn	skillname112	2		76	Magdplev	skillname108	par8		76	Magdplev	skillname119	par8		76	Magdplev	skillname121	par8																			0
concentration	2	4	2	2	34	42	skillname113	skillld113	skillld113	skillan113																	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	74	StrSkillDamagePercent		ln34																						74	StrSkill76		par5																						40	Sksyn	skillname113	2		76	Damplev	skillname108	par8		76	Damplev	skillname107	par8		76	Damplev	skillname98	par8																			0
holy freeze	2	4	3	2	36	10	skillname114	skillld114	skillld114	skillan114	5																36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	74	StrSkill77		dm34		75	StrSkill6		enma	exma	75	StrSkillColdDamageToYourAttack		edns*par5/256	edxs*par5/256																																				40	Sksyn	skillname114	2		76	Colddplev	skillname105	par8*2		76	Colddplev	skillname111	par8		76	Colddplev	skillname125	par8																			0
vigor	3	4	2	3	26		skillname115	skillld115	skillld115	skillan115																	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	74	StrSkill69		ln34		74	StrSkill102		ln34		74	StrSkill89		dm56		74	StrSkill100		ast4																																40	Sksyn	skillname115	2		76	Hpplev	skillname99	1		76	Hpplev	skillname109	1																								0
conversion	1	5	1	1	30		hypnoblast1	hypnoblast2	hypnoblast3	hypnoblast1	5																74	StrSkill99		dm34																											36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	ln12	25																40	Sksyn	hypnoblast1	2		76	Damplev	skillname119	par8		76	Damplev	skillname109	par8		76	Damplev	skillname121	par8																			0
holy shield	1	4	3	1	42		skillname117	skillld117	skillld117	skillan117																	36	StrSkillDurationSingular	StrSkill20	ln12	25	74	StrSkill110		dm56		74	StrSkill21		ln34+skill('Defiance'.blvl)*par8		75	StrSkillSmiteDamage		pnma	pxma											36	StrSkill3		usmc	256	18	StrSkill282				18	StrSkill283														40	Sksyn	skillname117	2		76	Defplev	skillname104	par8																													0
holy shock	2	5	3	2	44		skillname118	skillxld118	skillxld118	skillan118	5																36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	75	StrSkill7		enma	exma	75	strEskilllighttoattack		edns/256	edxs*par5/256																																									40	Sksyn	skillname118	2		76	Ltngdplev	skillname110	par8*2		76	Ltngdplev	skillname111	par8		76	Ltngdplev	skillname125	par8																			0
sanctuary	2	1	1	2	46		skillname119	skillld119	skillld119	skillan119	5																36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	75	StrSkill39		enma	exma	74	StrSkillDamageToUndead		pst1		74	StrSkillARUndead		pst2																																					40	Sksyn	skillname119	2		63	skillname98	DamDUplev	par7		63	skillname122	DamDUplev	par7		76	Magdplev	skillname109	par8		76	Magdplev	skillname101	par8		76	Magdplev	skillname112	par8		76	Magdplev	skillname121	par8				0
meditation	3	5	1	3	48	38	skillname120	skillld120	skillld120	skillan120																	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	2	StrSkill187	StrSkill23	ast3		74	StrSkill88		ln34																	74	StrMPK		blvl / 2		18	StrMedMPK																			40	Sksyn	skillname120	2		63	skillname124	Regplev	par7																													0
fist of the heavens	1	6	2	1	50		skillname121	skillld121	skillld121	skillan121	5													fistoftheheavensbolt			75	StrSkill91		m1en	m1ex	75	StrSkill7		enma	exma																					36	StrSkill3		usmc	256																					40	Sksyn	skillname121	2		76	Hbdplev	skillname101	par8		76	Hbdplev	skillname112	par8		76	Hbdplev	skillname119	par8		76	Ltngdplev	skillname101	par8		76	Ltngdplev	skillname112	par8		76	Ltngdplev	skillname118	par8				0
fanaticism	2	6	1	2	52	39	skillname122	skillxld122	skillxld122	skillan122																	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	74	StrSkill106		dm34		74	PartDam		ln56/2		74	FanYDam		ln56		74	StrSkill22		toht																																40	Sksyn	skillname122	2		76	Damplev	skillname98	par8		76	Damplev	skillname113	par8																								0
conviction	2	6	3	2	56	40	skillname123	skillld123	skillld123	skillan123																	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	74	StrSkill54		"-min(ln34,150)"		74	StrSkill21		-dm56																																																																															0
redemption	3	6	2	3	54		skillname124	skillxld124	skillxld124	skillan124																	74	StrSkill107		ln56		74	StrSkill109		dm34																						36	StrSkillRadiusSingular	StrSkill18	ln12*2	3																					40	Sksyn	skillname124	2		67	skillname99	Lifrplev	par8		67	skillname120	Manrplev	par7																								0
salvation	3	6	3	3	58	41	skillname125	skillld125	skillld125	skillan125																	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	2	StrSkill54l	StrSkill23	ast3		2	StrSkill54c	StrSkill23	ast2		2	StrSkill54f	StrSkill23	ast1																																					40	Sksyn	skillname125	2		63	skillname100	Resfplev	par8		63	skillname105	Rescplev	par8		63	skillname110	Reslplev	par8																			0
bash	1	4	3	1	0	22	skillname126	skillld126	skillld126	skillan126	7	clc1	clc2										1				74	StrSkill22		toht		74	StrSkillDamageFlat		ln34		74	StrSkillDamagePercent		clc1																	36	StrSkill3		usmc	256																					40	Sksyn	skillname126	2		76	Damplev	skillname139	par8		76	Damplev	skillname144	par8		76	Damplev	skillname152	par8		76	AttRateplev	skillname144	par7														0
sword mastery	2	1	1	2	2		ccmastery1	ccmastery2	ccmastery2	ccmastery1													1				74	eskillincasemasteryX		macr		74	StrSkillDamagePercent		madm		74	StrSkill22		math																																												ccmastery1																																			0
axe mastery	2	1	3	2	4		tstrike1	tstrike2	tstrike3	tstrike1	5												1				36	StrSkill3		usmc	256	75	StrSkill7		enma	exma	74	StrSkill22		toht																																										40	Sksyn	tstrike1	2		76	Ltngdplev	twave1	par8		76	Ltngdplev	Skillname385	par8		76	Ltngdplev	plasmarain1	par8		76	Ltngdplev	Skillname386	par8		76	Ltngdplev	skillname126	par8									0
mace mastery	2	3	3	2	6		twave1	twave2	twave3	twave1	5													thunder wave maker			36	StrSkill3		usmc	256	75	StrSkill7		enma	exma																																														40	Sksyn	twave1	2		76	Ltngdplev	ccmastery1	par8		76	Ltngdplev	tstrike1	par8		76	Ltngdplev	Skillname385	par8		76	Ltngdplev	plasmarain1	par8		76	Ltngdplev	Skillname386	par8									0
howl	3	1	2	3	8		skillname130	skillld130	skillld130	skillan130																	36	StrSkillDurationSingular	StrSkill20	ln56	25	36	StrSkill58		ln34*2	3																					36	StrSkill3		usmc	256																																																										0
find potion	3	4	3	3	32		findtreasure1	findtreasure2	findtreasure3	findtreasure1																	74	StrSkill24		clc1																											36	StrSkill3		usmc	256																																																										0
leap	3	1	3	3	12		skillname132	skillld132	skillld132	skillan132																	36	StrSkillKnockbackRadius	StrSkillKnockbackRadius	ln34*2	3	36	StrSkillRangeRadius	StrSkillRangeRadius	dm12*2	3																					36	StrSkill3		usmc	256																																																										0
double swing	1	1	1	1	14		skillname133	skillld133	skillld133	skillan133	19	clc1											2				74	StrSkill22		toht		74	StrSkillDamagePercent		clc1																						36	StrSkill3		usmc	256	74	StrSkill106		par5																	40	Sksyn	skillname133	2		76	Damplev	skillname147	par8		76	Damplev	skillname126	par8		76	Damplev	skillname152	par8		76	AttRateplev	skillname144	par7														0
pole arm mastery	2	5	3	2	16		plasmarain1	plasmarain2	plasmarain3	plasmarain1	5													angeldustcenter			36	StrSkill3		usmc	256	75	StrSkill7		enma	exma																					36	StrSkillDurationSingular	StrSkill20	miss('blizzardcenter'.rang)	25																					40	Sksyn	plasmarain1	2		76	Ltngdplev	ccmastery1	par8		76	Ltngdplev	tstrike1	par8		76	Ltngdplev	twave1	par8		76	Ltngdplev	Skillname385	par8		76	Ltngdplev	Skillname386	par8									0
throwing mastery	2	1	2	2	18		skillname135	skillld135	skillld135	skillan135																	18	StrSkillReplenishOnCrit				74	StrSkillNoConsumeChance		manc		74	StrSkillPiercingChance		mapi		74	eskillincasemasteryX		macr		74	StrSkillDamagePercent		madm		74	StrSkill22		math																																																																0
