Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	*ItemProbSum	*ItemProbTotal	*TreasureClassDropChance	ladder	noAlwaysSpawn	*eol
Act 4 (N) Unique A	15	51	-2					0	Act 4 (N) Uitem A	1	Cpot 6	1																						0
Act 4 (N) Unique B	15	54	-2					0	Act 4 (N) Uitem B	1	Cpot 6	1																						0
Act 5 (N) Unique A	15	57	-2					0	Act 5 (N) Uitem A	1	Cpot 6	1																						0
Act 5 (N) Unique B	15	60	-2					0	Act 5 (N) Uitem B	1	Cpot 6	1																						0
Act 5 (N) Unique C	15	62	-2					0	Act 5 (N) Uitem C	1	Cpot 6	1																						0
Act 1 (H) Unique A	15	63	-2					0	Act 1 (H) Uitem A	1	Cpot 7	1																						0
Act 1 (H) Unique B	15	66	-2					0	Act 1 (H) Uitem B	1	Cpot 7	1																						0
Act 1 (H) Unique C	15	68	-2					0	Act 1 (H) Uitem C	1	Cpot 7	1																						0
Act 2 (H) Unique A	15	69	-2					0	Act 2 (H) Uitem A	1	Cpot 7	1																						0
Act 2 (H) Unique B	15	71	-2					0	Act 2 (H) Uitem B	1	Cpot 7	1																						0
Act 2 (H) Unique C	15	72	-2					0	Act 2 (H) Uitem C	1	Cpot 7	1																						0
Act 3 (H) Unique A	15	74	-2					0	Act 3 (H) Uitem A	1	Cpot 7	1																						0
Act 3 (H) Unique B	15	75	-2					0	Act 3 (H) Uitem B	1	Cpot 7	1																						0
Act 3 (H) Unique C	15	77	-2					0	Act 3 (H) Uitem C	1	Cpot 7	1																						0
Act 4 (H) Unique A	15	78	-2					0	Act 4 (H) Uitem A	1	Cpot 7	1																						0
Act 4 (H) Unique B	15	80	-2					0	Act 4 (H) Uitem B	1	Cpot 7	1																						0
Act 5 (H) Unique A	15	81	-2					0	Act 5 (H) Uitem A	1	Cpot 7	1																						0
Act 5 (H) Unique B	15	83	-2					0	Act 5 (H) Uitem B	1	Cpot 7	1																						0
Act 5 (H) Unique C	15	85	-2					0	Act 5 (H) Uitem C	1	Cpot 7	1																						0
Act 1 Super A			3	864	864	864	1024	25	"gld,mul=2048"	20	Act 1 Equip A	40	Act 1 Junk	10	Act 1 UGood	5	Sets01	1																0
Act 1 Super B			3	864	864	864	1024	25	"gld,mul=2048"	20	Act 1 Equip B	40	Act 1 Junk	10	Act 1 UGood	5	Sets01	1																0
Act 1 Super C			3	864	864	864	1024	25	"gld,mul=2048"	20	Act 1 Equip C	40	Act 1 Junk	10	Act 1 UGood	5	Sets01	1																0
Act 2 Super A			3	864	864	864	1024	25	"gld,mul=2048"	20	Act 2 Equip A	40	Act 2 Junk	10	Act 2 UGood	5																		0
Act 2 Super B			3	864	864	864	1024	25	"gld,mul=2048"	20	Act 2 Equip B	40	Act 2 Junk	10	Act 2 UGood	5																		0
Act 2 Super C			3	864	864	864	1024	25	"gld,mul=2048"	20	Act 2 Equip C	40	Act 2 Junk	10	Act 2 UGood	5																		0
Act 3 Super A			3	864	864	864	1024	25	"gld,mul=2048"	20	Act 3 Equip A	40	Act 3 Junk	10	Act 3 UGood	5																		0
Act 3 Super B			3	864	864	864	1024	25	"gld,mul=2048"	20	Act 3 Equip B	40	Act 3 Junk	10	Act 3 UGood	5																		0
Act 3 Super C			3	864	864	864	1024	25	"gld,mul=2048"	20	Act 3 Equip C	40	Act 3 Junk	10	Act 3 UGood	5																		0
Act 4 Super A			3	864	864	864	1024	25	"gld,mul=2048"	20	Act 4 Equip A	40	Act 4 Junk	10	Act 4 UGood	5																		0
Act 4 Super B			3	864	864	864	1024	25	"gld,mul=2048"	20	Act 4 Equip B	40	Act 4 Junk	10	Act 4 UGood	5																		0
Act 5 Super A			3	864	864	864	1024	25	"gld,mul=2048"	20	Act 5 Equip A	40	Act 5 Junk	10	Act 5 UGood	5																		0
Act 5 Super B			3	864	864	864	1024	25	"gld,mul=2048"	20	Act 5 Equip B	40	Act 5 Junk	10	Act 5 UGood	5																		0
Act 5 Super C			3	864	864	864	1024	25	"gld,mul=2048"	20	Act 5 Equip C	40	Act 5 Junk	10	Act 5 UGood	5																		0
Act 1 (N) Super A			3	864	864	864	1024	25	"gld,mul=2048"	20	Act 1 (N) Equip A	40	Act 1 (N) Junk	10	Act 1 (N) UGood	5																		0
Act 1 (N) Super B			3	864	864	864	1024	25	"gld,mul=2048"	20	Act 1 (N) Equip B	40	Act 1 (N) Junk	10	Act 1 (N) UGood	5																		0
Act 1 (N) Super C			3	864	864	864	1024	25	"gld,mul=2048"	20	Act 1 (N) Equip C	40	Act 1 (N) Junk	10	Act 1 (N) UGood	5																		0
Act 2 (N) Super A			3	864	864	864	1024	25	"gld,mul=2048"	20	Act 2 (N) Equip A	40	Act 2 (N) Junk	10	Act 2 (N) UGood	5																		0
Act 2 (N) Super B			3	864	864	864	1024	25	"gld,mul=2048"	20	Act 2 (N) Equip B	40	Act 2 (N) Junk	10	Act 2 (N) UGood	5																		0
Act 2 (N) Super C			3	864	864	864	1024	25	"gld,mul=2048"	20	Act 2 (N) Equip C	40	Act 2 (N) Junk	10	Act 2 (N) UGood	5																		0
Act 3 (N) Super A			3	864	864	864	1024	25	"gld,mul=2048"	20	Act 3 (N) Equip A	40	Act 3 (N) Junk	10	Act 3 (N) UGood	5																		0
Act 3 (N) Super B			3	864	864	864	1024	25	"gld,mul=2048"	20	Act 3 (N) Equip B	40	Act 3 (N) Junk	10	Act 3 (N) UGood	5																		0
Act 3 (N) Super C			3	864	864	864	1024	25	"gld,mul=2048"	20	Act 3 (N) Equip C	40	Act 3 (N) Junk	10	Act 3 (N) UGood	5																		0
Act 4 (N) Super A			3	864	864	864	1024	25	"gld,mul=2048"	20	Act 4 (N) Equip A	40	Act 4 (N) Junk	10	Act 4 (N) UGood	5																		0
Act 4 (N) Super B			3	864	864	864	1024	25	"gld,mul=2048"	20	Act 4 (N) Equip B	40	Act 4 (N) Junk	10	Act 4 (N) UGood	5																		0
Act 5 (N) Super A			3	864	864	864	1024	25	"gld,mul=2048"	20	Act 5 (N) Equip A	40	Act 5 (N) Junk	10	Act 5 (N) UGood	5																		0
Act 5 (N) Super B			3	864	864	864	1024	25	"gld,mul=2048"	20	Act 5 (N) Equip B	40	Act 5 (N) Junk	10	Act 5 (N) UGood	5																		0
Act 5 (N) Super C			3	864	864	864	1024	25	"gld,mul=2048"	20	Act 5 (N) Equip C	40	Act 5 (N) Junk	10	Act 5 (N) UGood	5																		0
Act 1 (H) Super A			3	864	864	864	1024	25	"gld,mul=2048"	20	Act 1 (H) Equip A	40	Act 1 (H) Junk	10	Act 1 (H) UGood	5																		0
Act 1 (H) Super B			3	864	864	864	1024	25	"gld,mul=2048"	20	Act 1 (H) Equip B	40	Act 1 (H) Junk	10	Act 1 (H) UGood	5																		0
Act 1 (H) Super C			3	864	864	864	1024	25	"gld,mul=2048"	20	Act 1 (H) Equip C	40	Act 1 (H) Junk	10	Act 1 (H) UGood	5																		0
Act 2 (H) Super A			3	864	864	864	1024	25	"gld,mul=2048"	20	Act 2 (H) Equip A	40	Act 2 (H) Junk	10	Act 2 (H) UGood	5																		0
Act 2 (H) Super B			3	864	864	864	1024	25	"gld,mul=2048"	20	Act 2 (H) Equip B	40	Act 2 (H) Junk	10	Act 2 (H) UGood	5																		0
Act 2 (H) Super C			3	864	864	864	1024	25	"gld,mul=2048"	20	Act 2 (H) Equip C	40	Act 2 (H) Junk	10	Act 2 (H) UGood	5																		0
Act 3 (H) Super A			3	864	864	864	1024	25	"gld,mul=2048"	20	Act 3 (H) Equip A	40	Act 3 (H) Junk	10	Act 3 (H) UGood	5																		0
Act 3 (H) Super B			3	864	864	864	1024	25	"gld,mul=2048"	20	Act 3 (H) Equip B	40	Act 3 (H) Junk	10	Act 3 (H) UGood	5																		0
Act 3 (H) Super C			3	864	864	864	1024	25	"gld,mul=2048"	20	Act 3 (H) Equip C	40	Act 3 (H) Junk	10	Act 3 (H) UGood	5																		0
Act 4 (H) Super A			3	864	864	864	1024	25	"gld,mul=2048"	20	Act 4 (H) Equip A	40	Act 4 (H) Junk	10	Act 4 (H) UGood	5																		0
Act 4 (H) Super B			3	864	864	864	1024	25	"gld,mul=2048"	20	Act 4 (H) Equip B	40	Act 4 (H) Junk	10	Act 4 (H) UGood	5																		0
Act 4 (H) Super C	18	87	-4	800	800	972	1024	0	Act 4 (H) Uitem B	2	Act 4 (H) Cpot B	2																						0
Act 5 (H) Super A			3	864	864	864	1024	25	"gld,mul=2048"	20	Act 5 (H) Equip A	40	Act 5 (H) Junk	10	Act 5 (H) UGood	5																		0
Act 5 (H) Super B			3	864	864	864	1024	25	"gld,mul=2048"	20	Act 5 (H) Equip B	40	Act 5 (H) Junk	10	Act 5 (H) UGood	5																		0
Act 5 (H) Super C			3	864	864	864	1024	25	"gld,mul=2048"	20	Act 5 (H) Equip C	40	Act 5 (H) Junk	10	Act 5 (H) UGood	5																		0
HoD			1						hh2	1	isc	1																						0
HoD (N)			1						hh2	3	isc	1																						0
HoD (H)			1						hh2	1																								0
Bloodwitch the Wild			-2						Act 2 Super A	1	HoD	1																						0
Bloodwitch the Wild (N)			-2						Act 2 (N) Super A	1	HoD (N)	1																						0
Bloodwitch the Wild (H)			-2						Act 2 (H) Super A	1	HoD (H)	1																						0
Treehead WoodFist			-3						Act 1 Super C	1		1																						0
Treehead WoodFist (N)			-3						Act 1 (N) Super C	1		1																						0
Treehead WoodFist (H)			-3						Act 1 (H) Super C	1		1																						0
Act 1 Ultra			1	944	944	944	1024	25	"gld,mul=2048"	15	Act 1 Equip C	50	Act 1 Junk	5	Act 1 UGood	5																		0
Act 2 Ultra			1	944	944	944	1024	25	"gld,mul=2048"	15	Act 2 Equip C	50	Act 2 Junk	5	Act 2 UGood	5																		0
Act 3 Ultra			1	944	944	944	1024	25	"gld,mul=2048"	15	Act 3 Equip C	50	Act 3 Junk	5	Act 3 UGood	5																		0
Act 4 Ultra			1	944	944	944	1024	25	"gld,mul=2048"	15	Act 4 Equip B	50	Act 4 Junk	5	Act 4 UGood	5																		0
Act 5 Ultra			1	944	944	944	1024	25	"gld,mul=2048"	15	Act 5 Equip C	50	Act 5 Junk	5	Act 5 UGood	5																		0
Act 1 (N) Ultra			1	944	944	944	1024	25	"gld,mul=2048"	15	Act 1 (N) Equip C	50	Act 1 (N) Junk	5	Act 1 (N) UGood	5																		0
Act 2 (N) Ultra			1	944	944	944	1024	25	"gld,mul=2048"	15	Act 2 (N) Equip C	50	Act 2 (N) Junk	5	Act 2 (N) UGood	5																		0
Act 3 (N) Ultra			1	944	944	944	1024	25	"gld,mul=2048"	15	Act 3 (N) Equip C	50	Act 3 (N) Junk	5	Act 3 (N) UGood	5																		0
Act 4 (N) Ultra			1	944	944	944	1024	25	"gld,mul=2048"	15	Act 4 (N) Equip B	50	Act 4 (N) Junk	5	Act 4 (N) UGood	5																		0
Act 5 (N) Ultra			1	944	944	944	1024	25	"gld,mul=2048"	15	Act 5 (N) Equip C	50	Act 5 (N) Junk	5	Act 5 (N) UGood	5																		0
Act 1 (H) Ultra			1	944	944	944	1024	25	"gld,mul=2048"	15	Act 1 (H) Equip C	50	Act 1 (H) Junk	5	Act 1 (H) UGood	5																		0
Act 2 (H) Ultra			1	944	944	944	1024	25	"gld,mul=2048"	15	Act 2 (H) Equip C	50	Act 2 (H) Junk	5	Act 2 (H) UGood	5																		0
Act 3 (H) Ultra			1	944	944	944	1024	25	"gld,mul=2048"	15	Act 3 (H) Equip C	50	Act 3 (H) Junk	5	Act 3 (H) UGood	5																		0
Act 4 (H) Ultra			1	944	944	944	1024	25	"gld,mul=2048"	15	Act 4 (H) Equip B	50	Act 4 (H) Junk	5	Act 4 (H) UGood	5																		0
Act 5 (H) Ultra			1	944	944	944	1024	25	"gld,mul=2048"	15	Act 5 (H) Equip C	50	Act 5 (H) Junk	5	Act 5 (H) UGood	5																		0
Act 5 Uber			1	960	960	960	1024	25	"gld,mul=2048"	15	Act 5 Equip C	50	Act 5 Junk	5	Act 5 UGood	5																		0
Act 5 (N) Uber			1	960	960	960	1024	25	"gld,mul=2048"	15	Act 5 (N) Equip C	50	Act 5 (N) Junk	5	Act 5 (N) UGood	5																		0
Act 5 (H) Uber			1	960	960	960	1024	25	"gld,mul=2048"	15	Act 5 (H) Equip C	50	Act 5 (H) Junk	5	Act 5 (H) UGood	5																		0
Countess Rune			1						Runes 4	1	Runes 2	1																						0
Countess Rune (N)			1						Runes 9	1	Runes 4	1																						0
Countess Rune (H)			1						Runes 14	1	Runes 9	1																						0
Countess			-5						Act 1 Ultra	4	Countess Rune	1																						0
Countess (N)			-5						Act 1 (N) Ultra	4	Countess Rune (N)	1																						0
Countess (H)			-5						Act 1 (H) Ultra	4	Countess Rune (H)	1																						0
Blood Raven			5						Act 1 Ultra	900	Uni Ore 11	1																						0
Blood Raven (N)			5						Act 1 (N) Ultra	600	Uni Ore 11	1																						0
Blood Raven (H)			5						Act 1 (H) Ultra	300	Uni Ore 11	1																						0
Blood Raven Quest			-3						Act 1 Ultra	1	Uni Ore 11	1	elk	1																				0
Blood Raven (N) Quest			-3						Act 1 (N) Ultra	1	Uni Ore 11	1	elk	1																				0
Blood Raven (H) Quest			-3						Act 1 (H) Ultra	1	Uni Ore 11	1	elk	1																				0
Griswold			5						Act 1 Ultra	900	Uni Ore 9	1																						0
Griswold (N)			5						Act 1 (N) Ultra	600	Uni Ore 9	1																						0
Griswold (H)			5						Act 1 (H) Ultra	300	Uni Ore 9	1																						0
Radament			5						Act 2 Ultra	900	Uni Ore 8	1																						0
Radament (N)			5						Act 2 (N) Ultra	600	Uni Ore 8	1																						0
Radament (H)			5						Act 2 (H) Ultra	300	Uni Ore 8	1																						0
Radament Quest			-3						Act 2 Ultra	1	Uni Ore 8	1	el2	1																				0
Radament Quest (N)			-3						Act 2 (N) Ultra	1	Uni Ore 8	1	el2	1																				0
Radament Quest (H)			-3						Act 2 (H) Ultra	1	Uni Ore 8	1	el2	1																				0
Summoner			5						Act 2 Ultra	900	Uni Ore 7	1																						0
Summoner (N)			5						Act 2 (N) Ultra	600	Uni Ore 7	1																						0
Summoner (H)			5						Act 2 (H) Ultra	300	Uni Ore 7	1																						0
Sarina			5						Act 5 Ultra	900	Uni Ore 11	1																						0
Sarina (N)			5						Act 5 (H) Ultra	600	Uni Ore 11	1																						0
Sarina (H)			5						Act 5 (H) Ultra	300	Uni Ore 11	1																						0
Izual			5						Act 4 Ultra	180																								0
Izual (N)			5						Act 4 (N) Ultra	120																								0
Izual (H)			5						Act 4 (H) Ultra	60																								0
Izual Quest			-3						Act 4 Ultra	1	ppp	1	ek2	1																				0
Izual (N) Quest			-3						Act 4 (N) Ultra	1	ppp	1	ek2	1																				0
Izual (H) Quest			-3						Act 4 (H) Ultra	1	ppp	1	ek2	1																				0
Haphesto			5						Act 4 Ultra	900	Uni Ore 6	1																						0
Haphesto (N)			5						Act 4 (N) Ultra	600	Uni Ore 6	1																						0
Haphesto (H)			5						Act 4 (H) Ultra	300	Uni Ore 6	1																						0
Seal			3						Act 4 Ultra	900	Uni Ore 2	1																						0
Seal (N)			3						Act 4 (N) Ultra	600	Uni Ore 2	1																						0
Seal (H)			3						Act 4 (H) Ultra	300	Uni Ore 2	1																						0
Cow King			5						Act 5 Ultra	1																								0
Cow King (N)			5						Act 5 (H) Ultra	1																								0
Cow King (H)			5						Act 5 (H) Ultra	1																								0
Treant King			6						Act 5 Uber	1080	Uni Ore 10	1																						0
Treant King (N)			6						Act 5 (N) Uber	720	Uni Ore 10	1																						0
Treant King (H)			6						Act 5 (H) Uber	360	Uni Ore 10	1																						0
Reporb			6						Act 5 Uber	1080	Uni Ore 6	1																						0
Reporb (N)			6						Act 5 (N) Uber	720	Uni Ore 6	1																						0
Reporb (H)			6						Act 5 (H) Uber	360	Uni Ore 6	1																						0
Reziarfg			6						Act 5 Uber	1080	Uni Ore 8	1																						0
Reziarfg (N)			6						Act 5 (N) Uber	720	Uni Ore 8	1																						0
Reziarfg (H)			6						Act 5 (H) Uber	360	Uni Ore 8	1																						0
Guardian0			6						Act 5 Uber	1080	Uni Ore 1	1																						0
Guardian0 (N)			6						Act 5 (N) Uber	720	Uni Ore 1	1																						0
Guardian0 (H)			6						Act 5 (H) Uber	360	Uni Ore 1	1																						0
Guardian1			6						Act 5 Uber	1080	Uni Ore 11	1																						0
Guardian1 (N)			6						Act 5 (N) Uber	720	Uni Ore 11	1																						0
Guardian1 (H)			6						Act 5 (H) Uber	360	Uni Ore 11	1																						0
Guardian2			6						Act 5 Uber	1080	Uni Ore 0	1																						0
Guardian2 (N)			6						Act 5 (N) Uber	720	Uni Ore 0	1																						0
Guardian2 (H)			6						Act 5 (H) Uber	360	Uni Ore 0	1																						0
Guardian3			6						Act 5 Uber	1080	Uni Ore 9	1																						0
Guardian3 (N)			6						Act 5 (N) Uber	720	Uni Ore 9	1																						0
Guardian3 (H)			6						Act 5 (H) Uber	360	Uni Ore 9	1																						0
Guardian4			6						Act 5 Uber	1080	Uni Ore 7	1																						0
Guardian4 (N)			6						Act 5 (N) Uber	720	Uni Ore 7	1																						0
Guardian4 (H)			6						Act 5 (H) Uber	360	Uni Ore 7	1																						0
Act 1  Boss			1	960	960	960	1024	15	"gld,mul=3072"	10	Act 3 Equip A	55	Act 3 Junk	8	Act 3 UGood	7																		0
Act 1 (N) Boss			1	960	960	960	1024	15	"gld,mul=3072"	10	Act 3 (N) Equip A	55	Act 3 (N) Junk	8	Act 3 (N) UGood	7																		0
Act 1 (H) Boss			1	960	960	960	1024	15	"gld,mul=3072"	10	Act 3 (H) Equip A	55	Act 3 (H) Junk	8	Act 3 (H) UGood	7																		0
Act 2  Boss			1	960	960	960	1024	15	"gld,mul=3072"	10	Act 4 Equip A	55	Act 4 Junk	8	Act 4 UGood	7																		0
Act 2 (N) Boss			1	960	960	960	1024	15	"gld,mul=3072"	10	Act 4 (N) Equip A	55	Act 4 (N) Junk	8	Act 4 (N) UGood	7																		0
Act 2 (H) Boss			1	960	960	960	1024	15	"gld,mul=3072"	10	Act 4 (H) Equip A	55	Act 4 (H) Junk	8	Act 4 (H) UGood	7																		0
Act 3  Boss			1	960	960	960	1024	15	"gld,mul=3072"	10	Act 4 Equip B	55	Act 4 Junk	8	Act 4 UGood	7																		0
Act 3 (N) Boss			1	960	960	960	1024	15	"gld,mul=3072"	10	Act 4 (N) Equip B	55	Act 4 (N) Junk	8	Act 4 (N) UGood	7																		0
Act 3 (H) Boss			1	960	960	960	1024	15	"gld,mul=3072"	10	Act 4 (H) Equip B	55	Act 4 (H) Junk	8	Act 4 (H) UGood	7																		0
Act 4  Boss			1	960	960	960	1024	15	"gld,mul=3072"	10	Act 5 Equip A	55	Act 5 Junk	8	Act 5 UGood	7																		0
Act 4 (N) Boss			1	960	960	960	1024	15	"gld,mul=3072"	10	Act 5 (N) Equip A	55	Act 5 (N) Junk	8	Act 5 (N) UGood	7																		0
Act 4 (H) Boss			1	960	960	960	1024	15	"gld,mul=3072"	10	Act 5 (H) Equip A	55	Act 5 (H) Junk	8	Act 5 (H) UGood	7																		0
Act 5  Boss			1	960	960	960	1024	15	"gld,mul=3072"	10	Act 5 Equip C	55	Act 5 Junk	8	Act 5 UGood	7																		0
Act 5 (N) Boss			1	960	960	960	1024	15	"gld,mul=3072"	10	Act 5 (N) Equip C	55	Act 5 (N) Junk	8	Act 5 (N) UGood	7																		0
Act 5 (H) Boss			1	960	960	960	1024	15	"gld,mul=3072"	10	Act 5 (H) Equip C	55	Act 5 (H) Junk	8	Act 5 (H) UGood	7																		0
Nihlathak			6						Act 5  Boss	1080	Uni Ore 0	1																						0
Nihlathak (N)			6						Act 5 (N) Boss	720	Uni Ore 0	1																						0
Nihlathak (H)			6						Act 5 (H) Boss	360	Uni Ore 0	1																						0
Andariel			6						Act 1  Boss	1080	Uni Ore 5	1																						0
Andariel (N)			6						Act 1 (N) Boss	720	Uni Ore 5	1																						0
Andariel (H)			6						Act 1 (H) Boss	360	Uni Ore 5	1																						0
Andarielq			6	982	982	982	1024	45	"gld,mul=3072"	15	Act 3 Equip A	180	Act 3 Junk	12	Act 3 UGood	30	Sets02	2	Uni Ore 1	1														0
Andarielq (N)			6	982	982	982	1024	45	"gld,mul=3072"	15	Act 3 (N) Equip A	180	Act 3 (N) Junk	12	Act 3 (N) UGood	30	Sets04	2	Uni Ore 1	2														0
Andarielq (H)			6	982	982	982	1024	45	"gld,mul=3072"	15	Act 3 (H) Equip A	180	Act 3 (H) Junk	12	Act 3 (H) UGood	30	Sets06	2	Uni Ore 1	3														0
Duriel - Base			6						Act 2  Boss	1080	Uni Ore 4	1																						0
Duriel (N) - Base			6						Act 2 (N) Boss	720	Uni Ore 4	1																						0
Duriel (H) - Base			6						Act 2 (H) Boss	360	Uni Ore 4	1																						0
Durielq - Base			6	982	982	982	1024	45	"gld,mul=3072"	15	Act 4 Equip A	180	Act 4 Junk	12	Act 4 UGood	30	Sets02	2	Uni Ore 2	1														0
Durielq (N) - Base			6	982	982	982	1024	45	"gld,mul=3072"	15	Act 4 (N) Equip A	180	Act 4 (N) Junk	12	Act 4 (N) UGood	30	Sets04	2	Uni Ore 2	2														0
Durielq (H) - Base			6	982	982	982	1024	45	"gld,mul=3072"	15	Act 4 (H) Equip A	180	Act 4 (H) Junk	12	Act 4 (H) UGood	30	Sets06	2	Uni Ore 2	3														0
Duriel			-2					0	tsc	1	Duriel - Base	1																						0
Duriel (N)			-2					0	tsc	1	Duriel (N) - Base	1																						0
Duriel (H)			-2					0	tsc	1	Duriel (H) - Base	1																						0
Durielq			-2					0	tsc	1	Durielq - Base	1																						0
Durielq (N)			-2					0	tsc	1	Durielq (N) - Base	1																						0
Durielq (H)			-2					0	tsc	1	Durielq (H) - Base	1																						0
Mephisto			6						Act 3  Boss	1080	Uni Ore 3	1																						0
Mephisto (N)			6						Act 3 (N) Boss	720	Uni Ore 3	1																						0
Mephisto (H)			6						Act 3 (H) Boss	360	Uni Ore 3	1																						0
Mephistoq			6	982	982	982	1024	45	"gld,mul=3072"	15	Act 4 Equip B	180	Act 4 Junk	12	Act 4 UGood	30	Sets03	2	Uni Ore 3	1														0
Mephistoq (N)			6	982	982	982	1024	45	"gld,mul=3072"	15	Act 4 (N) Equip B	180	Act 4 (N) Junk	12	Act 4 (N) UGood	30	Sets05	2	Uni Ore 3	2														0
Mephistoq (H)			6	982	982	982	1024	45	"gld,mul=3072"	15	Act 4 (H) Equip B	180	Act 4 (H) Junk	12	Act 4 (H) UGood	30	Sets07	2	Uni Ore 3	3														0
Diablo			6	982	982	982	1024	45	"gld,mul=3072"	15	Act 5 Equip A	180	Act 5 Junk	12	Act 5 UGood	30	Sets03	2	Uni Ore 4	1														0
Diablo (N)			6	982	982	982	1024	45	"gld,mul=3072"	15	Act 5 (N) Equip A	180	Act 5 (N) Junk	12	Act 5 (N) UGood	30	Sets05	2	Uni Ore 4	2														0
Diablo (H)			6	982	982	982	1024	45	"gld,mul=3072"	15	Act 5 (H) Equip A	180	Act 5 (H) Junk	12	Act 5 (H) UGood	30	Sets08	2	Uni Ore 4	3														0
Diabloq			-4						Act 5 Equip A	1	Uni Ore 2	1	Act 5 UGood	1	ek2	1																		0
Diabloq (N)			-4						Act 5 (N) Equip A	1	Uni Ore 2	1	Act 5 (N) UGood	1	ek2	1																		0
Diabloq (H)			-4						Act 5 (H) Equip A	1	Uni Ore 2	1	Act 5 (H) UGood	1	ek2	1																		0
Baal			6						Act 5  Boss	1080	Uni Ore 1	1																						0
Baal (N)			6						Act 5 (N) Boss	720	Uni Ore 1	1																						0
Baal (H)			6						Act 5 (H) Boss	360	Uni Ore 1	1																						0
Baalq			6	982	982	982	1024	45	"gld,mul=3072"	15	Act 5 Equip C	180	Act 5 Junk	12	Act 5 UGood	30	Sets03	2	Uni Ore 5	1														0
Baalq (N)			6	982	982	982	1024	45	"gld,mul=3072"	15	Act 5 (N) Equip C	180	Act 5 (N) Junk	12	Act 5 (N) UGood	30	Sets06	2	Uni Ore 5	2														0
Baalq (H)			6	982	982	982	1024	45	"gld,mul=3072"	15	Act 5 (H) Equip C	180	Act 5 (H) Junk	12	Act 5 (H) UGood	30	Sets08	2	Uni Ore 5	3														0
ROP Rare Charm			1						cx1	1	cx2	1	cx3	1																				0
ROP Charm			1						Unique Charm 2	10	cx1	20	cx2	20	cx3	20	ROP Rare Charm	30																0
ROP - Base			5						Act 5 Ultra	1080	Uni Ore 2	1																						0
ROP (N) - Base			5						Act 5 (N) Ultra	720	Uni Ore 2	1																						0
ROP (H) - Base			5						Act 5 (H) Ultra	360	Uni Ore 2	1																						0
ROP			-2						ROP Charm	1	ROP - Base	1																						0
ROP (N)			-2						ROP Charm	1	ROP (N) - Base	1																						0
ROP (H)			-2						ROP Charm	1	ROP (H) - Base	1																						0
Trapped Soul			1					66	Gold	19	A4A	8	Act 4 Junk	33																				0
Trapped Soul (N)			1					66	Gold	19	A4A (N)	8	Act 4 (N) Junk	33																				0
Trapped Soul (H)			1					66	Gold	19	A4A (H)	8	Act 4 (H) Junk	33																				0
A1A None			1						A1A	3840	Act 1 Junk	768	Nothing	1792	Ore	1																		0
A1B None			1						A1B	3840	Act 1 Junk	768	Nothing	1792	Ore	1																		0
A1C None			1						A1C	3840	Act 1 Junk	768	Nothing	1792	Ore	1																		0
A2A None			1						A2A	3840	Act 2 Junk	768	Nothing	1792	Ore	1																		0
A2B None			1						A2B	3840	Act 2 Junk	768	Nothing	1792	Ore	1																		0
A2C None			1						A2C	3840	Act 2 Junk	768	Nothing	1792	Ore	1																		0
A3A None			1						A3A	3840	Act 3 Junk	768	Nothing	1792	Ore	1																		0
A3B None			1						A3B	3840	Act 3 Junk	768	Nothing	1792	Ore	1																		0
A3C None			1						A3C	3840	Act 3 Junk	768	Nothing	1792	Ore	1																		0
A4A None			1						A4A	3840	Act 4 Junk	768	Nothing	1792	Ore	1																		0
A4B None			1						A4B	3840	Act 4 Junk	768	Nothing	1792	Ore	1																		0
A5A None			1						A5A	3840	Act 5 Junk	768	Nothing	1792	Ore	1	hrt	40																0
A5B None			1						A5B	3840	Act 5 Junk	768	Nothing	1792	Ore	1	hrt	40																0
A5C None			1						A5C	3840	Act 5 Junk	768	Nothing	1792	Ore	1	hrt	40																0
A1A Hrt			1						A1A	3840	Act 1 Junk	768	Nothing	1792	Ore	1	hrt	40																0
A1B Hrt			1						A1B	3840	Act 1 Junk	768	Nothing	1792	Ore	1	hrt	40																0
A1C Hrt			1						A1C	3840	Act 1 Junk	768	Nothing	1792	Ore	1	hrt	40																0
A2A Hrt			1						A2A	3840	Act 2 Junk	768	Nothing	1792	Ore	1	hrt	40																0
A2B Hrt			1						A2B	3840	Act 2 Junk	768	Nothing	1792	Ore	1	hrt	40																0
A2C Hrt			1						A2C	3840	Act 2 Junk	768	Nothing	1792	Ore	1	hrt	40																0
A3A Hrt			1						A3A	3840	Act 3 Junk	768	Nothing	1792	Ore	1	hrt	40																0
A3B Hrt			1						A3B	3840	Act 3 Junk	768	Nothing	1792	Ore	1	hrt	40																0
A3C Hrt			1						A3C	3840	Act 3 Junk	768	Nothing	1792	Ore	1	hrt	40																0
A4A Hrt			1						A4A	3840	Act 4 Junk	768	Nothing	1792	Ore	1	hrt	40																0
A4B Hrt			1						A4B	3840	Act 4 Junk	768	Nothing	1792	Ore	1	hrt	40																0
A5A Hrt			1						A5A	3840	Act 5 Junk	768	Nothing	1792	Ore	1	hrt	40																0
A5B Hrt			1						A5B	3840	Act 5 Junk	768	Nothing	1792	Ore	1	hrt	40																0
