Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	divide	multiply	add
of Hydra Shield	100	1	1	48		40				2	50	gethit-skill	ctcHydra	10	20									1	lyel	armo	staf	wand								0	0	0
of Hydra Shield	100	1	1	60		50				2	50	gethit-skill	ctcHydra	12	25									1	lyel	armo	staf	wand								0	0	0
of Enchantment	100	1	1	24	48	24		sor	6	2	51	charged	Enchant	30	10									1	dred	amul	ring	circ	staf				sorc			0	0	0
of Enchantment	100	1	1	48		48		sor	6	2	51	charged	Enchant	45	15									1	dred	amul	ring	circ	staf				sorc			0	0	0
of Teleportation	100	1	1	24	48	24		sor	1	8	51	charged	Teleport	40	6									1	dyel	amul	ring	circ	staf				sorc			0	0	0
of Teleportation	100	1	1	48		48		sor	1	8	51	charged	Teleport	60	9									1	dyel	amul	ring	circ	staf				sorc			0	0	0
of Shiver Armor	100	1	1	24	48	24		sor	18	2	51	charged	Chilling Armor	30	10									1	cblu	amul	ring	circ	staf				sorc			0	0	0
of Shiver Armor	100	1	1	48		48		sor	18	2	51	charged	Chilling Armor	45	15									1	cblu	amul	ring	circ	staf				sorc			0	0	0
of Amplify Damage	100	1	1	24	48	24		nec	1	2	51	charged	Amplify Damage	40	6									1	dred	amul	ring	circ	wand				necr			0	0	0
of Amplify Damage	100	1	1	48		48		nec	1	2	51	charged	Amplify Damage	60	9									1	dred	amul	ring	circ	wand				necr			0	0	0
of Dim Vision	100	1	1	24	48	24		nec	6	4	51	charged	Dim Vision	40	6									1	blac	amul	ring	circ	wand				necr			0	0	0
of Dim Vision	100	1	1	48		48		nec	6	4	51	charged	Dim Vision	60	9									1	blac	amul	ring	circ	wand				necr			0	0	0
of Clay Golem Summoning	100	1	1	24	48	24		nec	6	2	51	charged	Clay Golem	30	16									1	cgrn	amul	ring	circ	wand				necr			0	0	0
of Clay Golem Summoning	100	1	1	48		48		nec	6	2	51	charged	Clay Golem	45	24									1	cgrn	amul	ring	circ	wand				necr			0	0	0
of Lower Resistance	100	1	1	36	60	36		nec	30	4	51	charged	Lower Resist	40	6									1	dpur	amul	ring	circ	wand				necr			0	0	0
of Lower Resistance	100	1	1	60		60		nec	30	4	51	charged	Lower Resist	60	9									1	dpur	amul	ring	circ	wand				necr			0	0	0
of Battle Orders	100	1	1	24	48	24		bar	18	2	51	charged	Battle Orders	30	10									1	cred	amul	ring	circ	belt				barb			0	0	0
of Battle Orders	100	1	1	48		48		bar	18	2	51	charged	Battle Orders	45	15									1	cred	amul	ring	circ	belt				barb			0	0	0
of Fade	100	1	1	24	48	24		ass	18	2	51	charged	Fade	30	10									1	dgry	amul	ring	circ	boot				assn			0		
of Fade	100	1	1	48		48		ass	18	2	51	charged	Fade	45	15									1	dgry	amul	ring	circ	boot				assn			0		
of Venom	100	1	1	36	60	36		ass	30	2	51	charged	Venom	30	10									1	dblu	amul	ring	circ	glov				assn			0		
of Venom	100	1	1	60		60		ass	30	2	51	charged	Venom	45	15									1	dblu	amul	ring	circ	glov				assn			0		
of the Tank	100	1	1	60		48				16	52	red-dmg%		8	15	thorns/lvl	16	0	0	ac%		50	200	1	dgry	tors	shld									0	0	0
of Mastery	100	1	1	50		30				16	53	dmg-ac		-10	-10	swing2		10	10	dmg%		75	75	1	dgld	weap							staf	wand		0	0	0
of Grand Mastery	100	1	1	60		45				16	53	dmg-ac		-15	-15	swing2		20	20	dmg%		100	100	1	dgld	weap							staf	wand		0	0	0
of the Rainbow	100	1	1	30		25				18	54	cold-max		50	75	fire-max		50	75	ltng-max		50	75	1	oran	weap	amul	ring	glov				staf	wand		0	0	0
of the Rainbow	100	1	1	40		30				18	54	cold-max		76	125	fire-max		76	125	ltng-max		76	125	1	oran	weap							staf	wand		0	0	0
of the Rainbow	100	1	1	50		40				18	54	cold-max		126	175	fire-max		126	175	ltng-max		126	175	1	oran	mele							staf	wand		0	0	0
of the Rainbow	100	1		60		50				18	54	cold-max		176	250	fire-max		176	250	ltng-max		176	250	1	oran	mele							staf	wand		0	0	0
of Replenishment	100	1	1	75		40				14	55	regen		25	25	regen-stam		25	25					1	cred	staf	wand									0	0	0
of Replenishment	100	1	1	85		40				14	55	regen		25	25	regen-stam		25	25					1	cred	amul	ring	belt								0	0	0
of Targeting	100	1	1	35		28				18	56	deadly		15	15									1	cred	weap	amul	ring	boqm	arrm			staf	wand		0	0	0
of Mauling	100	1	1	35		28				18	56	crush		10	10									1	blac	weap	amul	ring	boqm	arrm			staf	wand		0	0	0
of Wounding	100	1	1	35		28				18	56	openwounds		20	20									1	cred	weap	amul	ring	boqm	arrm			staf	wand		0	0	0
of the Psyche	100	1	1	40		25				16	57	regen-mana		10	15									1	cblu	amul	ring	scep	staf	wand						0	0	0
of Sorcery	100	1	1	60		35				16	57	regen-mana		20	30									1	cblu	amul	ring	scep	staf	wand						0	0	0
of Skill Master	100	1	1	32		24		ama	1	2	58	oskill	Dopplezon	1	8											amul	ring	helm	tors	shld	belt	boot	amaz			0	0	0
of Skill Master	100	1	1	40		30		ama	6	2	58	oskill	Multiple Shot	1	4											glov	miss						amaz			0	0	0
of Skill Master	100		1	56		42		nec	18	2	58	oskill	Killer Scythe	1	12											glov	2hsw						necr			0	0	0
of Skill Master	100	1	1	40		30		ama	6	4	58	oskill	Dodge	1	8											amul	ring	helm	tors				amaz			0	0	0
of Skill Master	100	1	1	48		36		ama	12	2	58	oskill	Slow Missiles	1	8	oskill	Inner Sight	1	8							amul	ring	helm	tors	shld	belt	boot	amaz			0	0	0
of Skill Master	100	1	1	48		36		ama	12	2	58	oskill	Freezing Arrow	1	12											glov	miss						amaz			0	0	0
of Skill Master	100	1	1	56		42		ama	18	2	58	oskill	Exploding Arrow	1	12											glov	miss						amaz			0	0	0
of Skill Master	100	1	1	56		42		ama	18	2	58	oskill	Guided Arrow	1	12											glov	miss						amaz			0	0	0
of Skill Master	100	1	1	56		42		ama	18	2	58	oskill	SFire Wall	1	12											glov	miss						amaz			0	0	0
of Skill Master	100		1	56		42		ama	18	2	58	oskill	Lightning Strike	1	12											glov	mele						amaz			0	0	0
of Skill Master	100	1	1	72		54		ama	30	2	58	oskill	Strafe	1	12											glov	miss						amaz			0	0	0
of Skill Master	100	1	1	72		54		ama	30	2	58	oskill	Pierce	1	8											glov	miss	thro					amaz			0	0	0
of Skill Master	100	1	1	72		54		ama	30	2	58	oskill	Valkyrie	1	8											amul	ring	helm	tors	shld	belt	boot	amaz			0	0	0
of Skill Master	100	1	1	32		24		sor	1	4	58	oskill	Frozen Armor	1	16											amul	ring	helm	tors	shld	belt	boot	sorc			0	0	0
of Skill Master	100	1	1	48		36		sor	1	1	58	oskill	Teleport	1	4											amul	ring	helm	tors	staf			sorc			0	0	0
of Skill Master	100	1	1	40		30		sor	6	4	58	oskill	Enchant	1	4											amul	ring	armo					sorc			0	0	0
of Skill Master	100		1	64		48		sor	24	2	58	oskill	Nova	1	16											amul	ring	armo					sorc			0	0	0
of Skill Master	100		1	64		48		sor	24	2	58	oskill	Hydra	1	16											amul	ring	armo					sorc			0	0	0
of Skill Master	100	1	1	72		54		sor	30	1	58	oskill	Fire Mastery	1	4											amul	ring	helm	tors				sorc			0	0	0
of Skill Master	100	1	1	72		54		sor	30	1	58	oskill	Lightning Mastery	1	4											amul	ring	helm	tors				sorc			0	0	0
of Skill Master	100	1	1	72		54		sor	30	1	58	oskill	Cold Mastery	1	4											amul	ring	helm	tors				sorc			0	0	0
of Skill Master	100		1	72		54		sor	30	2	58	oskill	Chain Lightning	1	16											amul	ring	armo					sorc			0	0	0
of Skill Master	100		1	72		54		sor	30	2	58	oskill	Frozen Orb	1	16											amul	ring	armo					sorc			0	0	0
of Skill Master	100	1	1	32		24		nec	1	4	58	oskill	Bone Armor	1	16											amul	ring	armo	pole				necr			0	0	0
of Skill Master	100	1	1	48		36		nec	1	1	58	oskill	Amplify Damage	1	8											amul	ring	helm	tors				necr			0	0	0
of Skill Master	100	1	1	40		30		nec	6	2	58	oskill	Clay Golem	1	12	oskill	Golem Mastery	1	8							amul	ring	helm	tors	shld	belt	boot	necr			0	0	0
of Skill Master	100	1	1	40		30		nec	6	2	58	oskill	Dim Vision	1	8											amul	ring	helm	tors	pole			necr			0	0	0
of Skill Master	100	1	1	40		30		nec	6	2	58	oskill	Confuse	1	4											amul	ring	helm	tors				necr			0	0	0
of Skill Master	100	1	1	48		36		nec	12	2	58	oskill	Raise Skeleton	1	8	oskill	Skeleton Mastery	1	8							amul	ring	helm	tors	shld	belt	boot	necr			0	0	0
of Skill Master	100	1	1	48		36		nec	12	2	58	oskill	BloodGolem	1	12	oskill	Golem Mastery	1	8							amul	ring	helm	tors	shld	belt	boot	necr			0	0	0
of Skill Master	100	1	1	72		54		nec	18	1	58	oskill	Decrepify	1	4											amul	ring	helm	tors				necr			0	0	0
of Skill Master	100		1	64		48		nec	24	2	58	oskill	Bone Spirit	1	16											amul	ring	armo					necr			0	0	0
of Skill Master	100	1	1	64		48		nec	24	2	58	oskill	FireGolem	1	12	oskill	Golem Mastery	1	8							amul	ring	helm	tors	shld	belt	boot	necr			0	0	0
of Skill Master	100	1	1	72		54		nec	30	2	58	oskill	Raise Skeletal Mage	1	8	oskill	Skeleton Mastery	1	8							amul	ring	helm	tors	shld	belt	boot	necr			0	0	0
of Skill Master	100		1	72		54		nec	30	2	58	oskill	Poison Nova	1	16											amul	ring	armo					necr			0	0	0
of Skill Master	100	1	1	72		54		nec	30	1	58	oskill	Lower Resist	1	4											amul	ring	helm	tors	pole			necr			0	0	0
of Skill Master	100		1	72		54		nec	30	2	58	oskill	SHydra	1	16											amul	ring	helm	tors	pole			necr			0	0	0
of Skill Master	100	1	1	32		24		pal	1	3	58	oskill	Blessed Aim	1	12											amul	ring	weap	glov				pala			0	0	0
of Skill Master	100		1	32		24		pal	1	3	58	oskill	Sanctuary	1	12											amul	ring	weap	glov				pala			0	0	0
of Skill Master	100	1	1	40		30		pal	6	3	58	oskill	Defiance	1	16											amul	ring	helm	tors	shld	belt	boot	pala			0	0	0
of Skill Master	100		1	48		36		pal	12	5	58	oskill	Zeal	1	4											glov	mele						pala			0	0	0
of Skill Master	100	1	1	48		36		pal	12	2	58	oskill	Cleansing	1	16											amul	ring	helm	tors	shld	belt	boot	pala			0	0	0
of Skill Master	100	1	1	48		36		pal	12	2	58	oskill	Holy Fire	1	16											amul	ring	helm	tors	shld	belt	boot	pala			0	0	0
of Skill Master	100	1	1	56		42		pal	18	2	58	oskill	Vengeance	1	12											glov	mele						pala			0	0	0
of Skill Master	100	1	1	56		42		pal	18	2	58	oskill	Holy Freeze	1	16											amul	ring	helm	tors	shld	belt	boot	pala			0	0	0
of Skill Master	100	1	1	56		42		pal	18	2	58	oskill	Vigor	1	12											amul	ring	helm	tors	shld	belt	boot	pala			0	0	0
of Skill Master	100	1	1	56		42		pal	18	3	58	oskill	Might	1	16											amul	ring	weap	glov				pala			0	0	0
of Skill Master	100	1	1	64		48		pal	24	2	58	oskill	Meditation	1	16											amul	ring	helm	tors	shld	belt	boot	pala			0	0	0
of Skill Master	100	1	1	64		48		pal	24	2	58	oskill	Holy Shock	1	16											amul	ring	helm	tors	shld	belt	boot	pala			0	0	0
of Skill Master	100	1	1	72		54		pal	30	2	58	oskill	Salvation	1	12											amul	ring	helm	tors	shld	belt	boot	pala			0	0	0
of Skill Master	100	1	1	72		54		pal	30	1	58	oskill	Fanaticism	1	12											amul	ring	weap	glov				pala			0	0	0
of Skill Master	100	1	1	72		54		pal	30	2	58	oskill	SSummon Grizzly	1	8											amul	ring	weap	glov				pala			0	0	0
of Skill Master	100	1	1	32		24		bar	1	3	58	oskill	Sword Mastery	1	4											glov	mele						barb			0	0	0
of Skill Master	100		1	32		24		bar	1	3	58	oskill	Axe Mastery	1	4											glov	axe						barb			0	0	0
of Skill Master	100		1	32		24		bar	1	3	58	oskill	Mace Mastery	1	4											glov	blun						barb			0	0	0
of Skill Master	100		1	32		24		bar	1	3	58	oskill	Spear Mastery	1	4											glov	spea						barb			0	0	0
of Skill Master	100	1	1	32		24		bar	1	3	58	oskill	Throwing Mastery	1	4											glov	thro						barb			0	0	0
of Skill Master	100		1	32		24		bar	1	3	58	oskill	Pole Arm Mastery	1	4											glov	pole						barb			0	0	0
of Skill Master	100	1	1	40		30		bar	6	2	58	oskill	Shout	1	12											amul	ring	helm	tors	spea			barb			0	0	0
of Skill Master	100	1	1	56		42		bar	18	2	58	oskill	Iron Skin	1	4											amul	ring	helm	tors				barb			0	0	0
of Skill Master	100	1	1	56		42		bar	18	2	58	oskill	Battle Orders	1	12											amul	ring	helm	tors	spea			barb			0	0	0
of Skill Master	100	1	1	64		48		bar	24	2	58	oskill	War Cry	1	12											amul	ring	helm	tors				barb			0	0	0
of Skill Master	100	1	1	72		54		bar	30	2	58	oskill	Berserk	1	12											glov	mele						barb			0	0	0
of Skill Master	100	1	1	72		54		bar	30	2	58	oskill	Whirlwind	1	8											glov	mele						barb			0	0	0
of Skill Master	100	1	1	72		54		bar	30	1	58	oskill	Natural Resistance	1	4											amul	ring	helm	tors				barb			0	0	0
of Skill Master	100		1	32		24		dru	1	2	58	oskill	Raven	1	12											amul	ring	helm	tors	shld	belt	boot	drui			0	0	0
of Skill Master	100		1	32		24		dru	1	2	58	oskill	Cow Balloon	1	12											amul	ring	helm	tors	shld	belt	boot	drui			0	0	0
of Skill Master	100	1	1	48		36		dru	12	2	58	oskill	Wearbear	1	8	oskill	Shape Shifting	1	8	oskill	Maul	1	8			glov	mele						drui			0	0	0
of Skill Master	100		1	48		36		dru	12	2	58	oskill	Plague Poppy	1	8	oskill	Cycle of Life	1	8							amul	ring	helm	tors	shld	belt	boot	drui			0	0	0
of Skill Master	100		1	48		36		dru	12	2	58	oskill	Molten Boulder	1	16											amul	ring	armo					drui			0	0	0
of Skill Master	100		1	56		42		dru	18	2	58	oskill	Eruption	1	16											amul	ring	helm	tors	shld	belt	boot	drui			0	0	0
of Skill Master	100	1	1	56		42		dru	18	4	58	oskill	Oak Sage	1	8	oskill	Heart of Wolverine	1	8							amul	ring	helm	tors	shld	belt	boot	drui			0	0	0
of Skill Master	100	1	1	56		42		dru	18	2	58	oskill	Summon Spirit Wolf	1	12	oskill	Summon Fenris	1	12							amul	ring	helm	tors	shld	belt	boot	drui			0	0	0
of Skill Master	100		1	56		42		dru	18	2	58	oskill	Tornado	1	16											amul	ring	armo					drui			0	0	0
of Skill Master	100	1	1	72		54		dru	30	2	58	oskill	Wearwolf	1	8	oskill	Shape Shifting	1	8	oskill	Fury	1	8			glov	mele						drui			0	0	0
of Skill Master	100	1	1	72		54		dru	30	2	58	oskill	Summon Grizzly	1	16											amul	ring	helm	tors	shld	belt	boot	drui			0	0	0
of Skill Master	100	1	1	48		36		ass	1	1	58	oskill	Cloak of Shadows	1	8											amul	ring	helm	tors				assn			0	0	0
of Skill Master	100		1	40		30		ass	6	2	58	oskill	Tiger Strike	1	12											glov	mele						assn			0	0	0
of Skill Master	100	1	1	56		42		ass	6	1	58	oskill	Quickness	1	4											amul	ring	helm	tors				assn			0	0	0
of Skill Master	100	1	1	48		36		ass	12	4	58	oskill	Claw Mastery	1	4											amul	ring	helm	tors				assn			0	0	0
of Skill Master	100	1	1	72		54		ass	18	1	58	oskill	Fade	1	4											amul	ring	helm	tors				assn			0	0	0
of Skill Master	100	1	1	56		42		ass	18	2	58	oskill	Shadow Master	1	16											amul	ring	helm	tors	shld	belt	boot	assn			0	0	0
of Skill Master	100		1	64		48		ass	24	2	58	oskill	Royal Strike	1	12											glov	mele						assn			0	0	0
of Skill Master	100	1	1	72		54		ass	30	2	58	oskill	Shuriken	1	8											glov	tkni						assn			0	0	0
of Skill Master	100	1	1	72		54		ass	30	1	58	oskill	Venom	1	4											amul	ring	helm	tors				assn			0	0	0
of Skill Master	100		1	72		54		ass	30	1	58	oskill	Mind Blast	1	8											amul	ring	armo					assn			0	0	0
of Skill Master	100		1	72		54		ass	30	2	58	oskill	SCold Missiles	1	12											amul	ring	armo					assn			0	0	0
of Aurora	100	1	1	78		56				1	59	aura	Defiance	1	12											helm	tors									0	0	0
of Aurora	100	1	1	78		56				1	59	aura	Cleansing	1	12											helm	tors									0	0	0
of Aurora	100	1	1	78		56				1	59	aura	Holy Fire T	1	12											helm	tors									0	0	0
of Aurora	100	1	1	83		64				1	59	aura	Holy Freeze T	1	12											helm	tors									0	0	0
of Aurora	100	1	1	83		64				1	59	aura	Vigor	1	9											helm	tors									0	0	0
of Aurora	100	1	1	83		64				1	59	aura	Meditation	1	12											helm	tors									0	0	0
of Aurora	100	1	1	83		64				1	59	aura	Holy Shock T	1	12											helm	tors									0	0	0
of Aurora	100	1	1	88		72				1	59	aura	Salvation	1	9											helm	tors									0	0	0
of Aurora	100	1	1	78		56				1	59	aura	Blessed Aim	1	9											weap										0	0	0
of Aurora	100	1	1	78		56				1	59	aura	Sanctuary	1	9											weap										0	0	0
of Aurora	100	1	1	83		64				1	59	aura	Might	1	12											weap										0	0	0
of Aurora	100	1	1	88		72				1	59	aura	Fanaticism	1	9											weap										0	0	0
																																						
of Puncturing	100	1	1	3		1				4	5	dmg-ac		-5	-6									1	dgry	lcha										0	0	0
of Puncturing	100	1	1	13		9				4	5	dmg-ac		-7	-8									1	dgry	lcha										0	0	0
of Puncturing	100	1	1	3		1				4	5	dmg-ac		-3	-4									1	dgry	mcha										0	0	0
of Puncturing	100	1	1	13		9				4	5	dmg-ac		-5	-6									1	dgry	mcha										0	0	0
of Puncturing	100	1	1	3		1				4	5	dmg-ac		-1	-2									1	dgry	scha										0	0	0
of Puncturing	100	1	1	13		9				4	5	dmg-ac		-3	-4									1	dgry	scha										0	0	0
of Thorns	100	1	1	14		10				4	6	thorns		6	15									1	oran	lcha										0	0	0
of Thorns	100	1	1	21		15				4	6	thorns		18	30									1	oran	lcha										0	0	0
of Thorns	100	1	1	34		26				4	6	thorns		33	45									1	oran	lcha										0	0	0
of Thorns	100	1	1	47		39				4	6	thorns		48	60									1	oran	lcha										0	0	0
of Thorns	100	1	1	57		49				4	6	thorns		63	90									1	oran	lcha										0	0	0
of Thorns	100	1	1	14		10				4	6	thorns		4	10									1	oran	mcha										0	0	0
of Thorns	100	1	1	21		15				4	6	thorns		12	20									1	oran	mcha										0	0	0
of Thorns	100	1	1	34		26				4	6	thorns		22	30									1	oran	mcha										0	0	0
of Thorns	100	1	1	47		39				4	6	thorns		32	40									1	oran	mcha										0	0	0
of Thorns	100	1	1	57		49				4	6	thorns		42	60									1	oran	mcha										0	0	0
of Thorns	100	1	1	14		10				4	6	thorns		2	5									1	oran	scha										0	0	0
of Thorns	100	1	1	21		15				4	6	thorns		6	10									1	oran	scha										0	0	0
of Thorns	100	1	1	34		26				4	6	thorns		11	15									1	oran	scha										0	0	0
of Thorns	100	1	1	47		39				4	6	thorns		16	20									1	oran	scha										0	0	0
of Thorns	100	1	1	57		49				4	6	thorns		21	30									1	oran	scha										0	0	0
of Frost	100	1	1	9		6				2	10	cold-len		35	35	cold-min		3	8	cold-max		9	15	1	dblu	lcha										0	0	0
of the Icicle	100	1	1	25		21				2	10	cold-len		35	35	cold-min		9	15	cold-max		16	30	1	dblu	lcha										0	0	0
of the Glacier	100	1	1	50		42				1	10	cold-len		35	35	cold-min		16	24	cold-max		31	45	1	dblu	lcha										0	0	0
of Winter	100	1		85		78				1	10	cold-len		35	35	cold-min		25	30	cold-max		46	60	1	dblu	lcha										0	0	0
of Frost	100	1	1	18		13				2	10	cold-len		25	25	cold-min		2	5	cold-max		6	10	1	dblu	mcha										0	0	0
of the Icicle	100	1	1	39		31				2	10	cold-len		25	25	cold-min		6	10	cold-max		11	20	1	dblu	mcha										0	0	0
of the Glacier	100	1	1	64		56				1	10	cold-len		25	25	cold-min		11	15	cold-max		21	30	1	dblu	mcha										0	0	0
of Winter	100	1		89		81				1	10	cold-len		25	25	cold-min		16	20	cold-max		31	40	1	dblu	mcha										0	0	0
of Frost	100	1	1	27		20				2	10	cold-len		15	15	cold-min		1	3	cold-max		3	5	1	dblu	scha										0	0	0
of the Icicle	100	1	1	42		34				2	10	cold-len		15	15	cold-min		4	5	cold-max		6	10	1	dblu	scha										0	0	0
of the Glacier	100	1	1	66		58				1	10	cold-len		15	15	cold-min		6	8	cold-max		11	15	1	dblu	scha										0	0	0
of Winter	100	1		91		83				1	10	cold-len		15	15	cold-min		9	10	cold-max		16	20	1	dblu	scha										0	0	0
of Flame	100	1	1	9		6				2	11	fire-min		3	10	fire-max		11	18					1	lred	lcha										0	0	0
of Fire	100	1	1	25		21				2	11	fire-min		11	18	fire-max		19	36					1	lred	lcha										0	0	0
of Burning	100	1	1	50		42				1	11	fire-min		19	29	fire-max		37	54					1	lred	lcha										0	0	0
of Incineration	100	1		85		78				1	11	fire-min		30	36	fire-max		55	72					1	lred	lcha										0	0	0
of Flame	100	1	1	18		13				2	11	fire-min		2	6	fire-max		7	12					1	lred	mcha										0	0	0
of Fire	100	1	1	39		31				2	11	fire-min		7	12	fire-max		13	24					1	lred	mcha										0	0	0
of Burning	100	1	1	64		56				1	11	fire-min		13	18	fire-max		25	36					1	lred	mcha										0	0	0
of Incineration	100	1		89		81				1	11	fire-min		19	24	fire-max		37	48					1	lred	mcha										0	0	0
of Flame	100	1	1	27		20				2	11	fire-min		1	4	fire-max		4	6					1	lred	scha										0	0	0
of Fire	100	1	1	42		34				2	11	fire-min		5	6	fire-max		7	12					1	lred	scha										0	0	0
of Burning	100	1	1	66		58				1	11	fire-min		7	10	fire-max		13	18					1	lred	scha										0	0	0
of Incineration	100	1		91		83				1	11	fire-min		11	12	fire-max		19	24					1	lred	scha										0	0	0
of Shock	100	1	1	9		6				2	12	ltng-min		1	1	ltng-max		15	30					1	whit	lcha										0	0	0
of Lightning	100	1	1	25		21				2	12	ltng-min		1	1	ltng-max		31	60					1	whit	lcha										0	0	0
of Thunder	100	1	1	50		42				1	12	ltng-min		1	1	ltng-max		61	115					1	whit	lcha										0	0	0
of Storms	100	1		85		78				1	12	ltng-min		1	1	ltng-max		116	150					1	whit	lcha										0	0	0
of Shock	100	1	1	18		13				2	12	ltng-min		1	1	ltng-max		10	20					1	whit	mcha										0	0	0
of Lightning	100	1	1	39		31				2	12	ltng-min		1	1	ltng-max		21	40					1	whit	mcha										0	0	0
of Thunder	100	1	1	64		56				1	12	ltng-min		1	1	ltng-max		41	70					1	whit	mcha										0	0	0
of Storms	100	1		89		81				1	12	ltng-min		1	1	ltng-max		71	100					1	whit	mcha										0	0	0
of Shock	100	1	1	27		20				2	12	ltng-min		1	1	ltng-max		5	10					1	whit	scha										0	0	0
of Lightning	100	1	1	42		34				2	12	ltng-min		1	1	ltng-max		11	20					1	whit	scha										0	0	0
of Thunder	100	1	1	66		58				1	12	ltng-min		1	1	ltng-max		21	35					1	whit	scha										0	0	0
of Storms	100	1		91		83				1	12	ltng-min		1	1	ltng-max		36	50					1	whit	scha										0	0	0
of Blight	100	1	1	9		6				2	13	dmg-pois	75	105	105									1	dgrn	lcha										0	0	0
of Venom	100	1	1	25		21				2	13	dmg-pois	100	231	231									1	dgrn	lcha										0	0	0
of Pestilence	100	1	1	50		42				1	13	dmg-pois	125	369	369									1	dgrn	lcha										0	0	0
of Anthrax	100	1		85		78				1	13	dmg-pois	150	513	513									1	dgrn	lcha										0	0	0
of Blight	100	1	1	18		13				2	13	dmg-pois	75	70	70									1	dgrn	mcha										0	0	0
of Venom	100	1	1	39		31				2	13	dmg-pois	100	154	154									1	dgrn	mcha										0	0	0
of Pestilence	100	1	1	64		56				1	13	dmg-pois	125	246	246									1	dgrn	mcha										0	0	0
of Anthrax	100	1		89		81				1	13	dmg-pois	150	342	342									1	dgrn	mcha										0	0	0
of Blight	100	1	1	27		20				2	13	dmg-pois	75	35	35									1	dgrn	scha										0	0	0
of Venom	100	1	1	42		34				2	13	dmg-pois	100	77	77									1	dgrn	scha										0	0	0
of Pestilence	100	1	1	66		58				1	13	dmg-pois	125	123	123									1	dgrn	scha										0	0	0
of Anthrax	100	1		91		83				1	13	dmg-pois	150	171	171									1	dgrn	scha										0	0	0
of Craftsmanship	100	1	1	3		2				2	15	dmg-max		1	3									1	blac	lcha										0	0	0
of Quality	100	1	1	25		18				2	15	dmg-max		4	6									1	blac	lcha										0	0	0
of Maiming	100	1		47		39				2	15	dmg-max		7	9									1	blac	lcha										0	0	0
of Craftsmanship	100	1	1	10		7				2	15	dmg-max		1	2									1	blac	mcha										0	0	0
of Quality	100	1	1	30		22				2	15	dmg-max		3	4									1	blac	mcha										0	0	0
of Maiming	100	1		50		42				2	15	dmg-max		5	6									1	blac	mcha										0	0	0
of Craftsmanship	100	1	1	23		17				2	15	dmg-max		1	1									1	blac	scha										0	0	0
of Quality	100	1	1	38		30				2	15	dmg-max		2	2									1	blac	scha										0	0	0
of Maiming	100	1		53		45				2	15	dmg-max		3	3									1	blac	scha										0	0	0
of Balance	100	1	1	1		1				2	18	balance3		10	10											lcha										0	0	0
of Balance	100	1	1	30		23				2	18	balance3		15	15											lcha										0	0	0
of Balance	100	1	1	7		4				2	18	balance2		7	7											mcha										0	0	0
of Balance	100	1	1	34		27				2	18	balance2		10	10											mcha										0	0	0
of Balance	100	1	1	10		7				2	18	balance1		3	3											scha										0	0	0
of Balance	100	1	1	37		30				2	18	balance1		5	5											scha										0	0	0
of Inertia	100	1	1	25		21				3	19	move3		9	9											lcha										0	0	0
of Inertia	100	1	1	30		24				3	19	move2		6	6											mcha										0	0	0
of Inertia	100	1	1	35		27				3	19	move1		3	3											scha										0	0	0
of Greed	100	1	1	1		1				2	21	gold%		12	15									1	dgld	lcha										0	0	0
of Greed	100	1	1	31		24				2	21	gold%		16	21									1	dgld	lcha										0	0	0
of Greed	100	1		70		47				2	21	gold%		22	30									1	dgld	lcha										0	0	0
of Greed	100	1	1	1		1				2	21	gold%		8	10									1	dgld	mcha										0	0	0
of Greed	100	1	1	32		27				2	21	gold%		11	14									1	dgld	mcha										0	0	0
of Greed	100	1		73		50				2	21	gold%		15	20									1	dgld	mcha										0	0	0
of Greed	100	1	1	1		1				2	21	gold%		4	5									1	dgld	scha										0	0	0
of Greed	100	1	1	34		30				2	21	gold%		6	7									1	dgld	scha										0	0	0
of Greed	100	1		76		53				2	21	gold%		8	10									1	dgld	scha										0	0	0
of Fortune	100	1	1	1		1				2	22	mag%		12	15									1	lgld	lcha										0	0	0
of Fortune	100	1	1	31		24				2	22	mag%		16	21									1	lgld	lcha										0	0	0
of Fortune	100	1		70		47				2	22	mag%		22	30									1	lgld	lcha										0	0	0
of Fortune	100	1	1	1		1				2	22	mag%		8	10									1	lgld	mcha										0	0	0
of Fortune	100	1	1	32		27				2	22	mag%		11	14									1	lgld	mcha										0	0	0
of Fortune	100	1		73		50				2	22	mag%		15	20									1	lgld	mcha										0	0	0
of Fortune	100	1	1	1		1				2	22	mag%		4	5									1	lgld	scha										0	0	0
of Fortune	100	1	1	34		30				2	22	mag%		6	7									1	lgld	scha										0	0	0
of Fortune	100	1		76		53				2	22	mag%		8	10									1	lgld	scha										0	0	0
of Life	100	1	1	1		1				4	24	hp		3	10									1	cred	lcha										0	0	0
of Life	100	1	1	7		5				4	24	hp		9	15									1	cred	lcha										0	0	0
of Life	100	1	1	13		9				4	24	hp		14	20									1	cred	lcha										0	0	0
of Substinence	100	1	1	19		14				4	24	hp		21	25									1	cred	lcha										0	0	0
of Substinence	100	1	1	25		18				4	24	hp		26	30									1	cred	lcha										0	0	0
